id,Date,Open,High,Low,Close,Volume,SMA-8,WMA-12,cci-20,rsi-14
0,1/3/2006,24.49,24.87,24.24,24.71,16350500,24.71,24.71,-0.0298,0.0
1,1/4/2006,24.66,25.06,24.64,24.89,14824800,24.86,24.88,0.1232,100.0
2,1/5/2006,24.91,25.1,24.9,24.95,10802900,24.91,24.93,0.2189,100.0
3,1/6/2006,24.8,25.03,24.6,24.93,11802600,24.9,24.9,0.0308,66.6666666667
4,1/9/2006,24.78,25.12,24.69,25.02,18037700,24.93,24.95,0.2177,75.0
5,1/10/2006,24.95,24.98,24.73,24.87,10713400,24.89,24.86,0.0,60.0
6,1/11/2006,24.87,25.09,24.76,25.07,11400400,24.92,24.92,0.4049,66.6666666667
7,1/12/2006,25.12,25.2,24.87,24.96,13113000,24.92,24.88,0.4691,57.1428571429
8,1/13/2006,24.98,25.08,24.81,24.99,10137700,24.96,24.94,0.2803,62.5
9,1/17/2006,24.8,24.89,24.62,24.84,9102600,24.97,24.96,-0.5229,55.5555555556
10,1/18/2006,24.7,24.87,24.66,24.82,12442900,24.95,24.96,-0.5229,50.0
11,1/19/2006,24.82,24.98,24.82,24.9,10346800,24.94,24.97,0.0929,54.5454545455
12,1/20/2006,24.75,24.87,24.61,24.71,13527100,24.92,24.94,-0.8281,50.0
13,1/23/2006,24.68,24.75,24.39,24.45,10938100,24.9,24.95,-2.0989,46.1538461538
14,1/24/2006,24.5,25.0,24.5,24.66,9999600,24.81,24.88,-0.827,46.1538461538
15,1/25/2006,24.53,25.23,24.52,25.21,15592300,24.77,24.83,1.081,46.1538461538
16,1/26/2006,25.39,25.66,25.26,25.51,15638100,24.8,24.79,5.0213,53.8461538462
17,1/27/2006,25.62,26.0,25.52,25.89,16098700,24.89,24.8,7.7469,53.8461538462
18,1/30/2006,25.87,26.16,25.85,26.05,13101800,25.05,24.86,9.7052,61.5384615385
19,1/31/2006,26.06,26.21,25.87,25.95,16168800,25.21,24.93,9.611,53.8461538462
20,2/1/2006,26.0,26.61,25.89,26.55,18626900,25.39,25.1,12.2765,61.5384615385
21,2/2/2006,26.75,26.76,26.3,26.52,14939000,25.69,25.41,13.3489,53.8461538462
22,2/3/2006,26.52,26.93,26.4,26.79,21797800,25.95,25.74,14.4788,61.5384615385
23,2/6/2006,26.8,27.12,26.74,27.05,17962900,26.18,25.98,16.3078,69.2307692308
24,2/7/2006,27.12,27.21,26.77,26.92,14165700,26.4,26.2,15.4394,61.5384615385
25,2/8/2006,26.93,27.14,26.67,27.13,13627600,26.55,26.37,14.7121,69.2307692308
26,2/9/2006,27.3,27.39,27.02,27.13,14174200,26.7,26.53,15.9786,75.0
27,2/10/2006,27.03,27.62,27.01,27.48,16476400,26.87,26.76,17.0229,75.0
28,2/13/2006,27.6,27.82,27.45,27.65,16690800,27.0,26.87,18.9699,75.0
29,2/14/2006,27.66,28.82,27.66,28.29,23060000,27.16,27.03,24.5962,75.0
30,2/15/2006,28.12,28.39,27.93,28.32,14123800,27.38,27.18,22.7345,75.0
31,2/16/2006,28.5,28.65,28.22,28.45,14127900,27.56,27.31,24.0812,75.0
32,2/17/2006,28.5,28.55,28.17,28.28,15812700,27.78,27.52,21.2268,75.0
33,2/21/2006,28.25,28.47,28.13,28.15,13868500,27.94,27.73,18.4509,66.6666666667
34,2/22/2006,28.37,28.37,28.06,28.25,9494100,28.09,27.97,16.4423,75.0
35,2/23/2006,28.14,28.22,27.75,27.94,11205500,28.2,28.15,11.2346,66.6666666667
36,2/24/2006,27.96,28.07,27.42,27.57,13175100,28.24,28.29,5.7928,58.3333333333
37,2/27/2006,27.52,27.98,27.48,27.77,11821000,28.14,28.26,5.3009,66.6666666667
38,2/28/2006,27.65,27.77,27.54,27.59,10429500,28.06,28.19,2.5092,58.3333333333
39,3/1/2006,27.6,28.18,27.6,28.09,13455300,27.94,28.06,6.0043,61.5384615385
40,3/2/2006,28.09,28.39,27.96,28.28,14677300,27.91,27.97,8.718,61.5384615385
41,3/3/2006,28.19,28.2,27.85,27.99,10971000,27.93,27.91,4.5004,53.8461538462
42,3/6/2006,27.34,27.7,26.78,27.02,62623900,27.89,27.82,-9.72,46.1538461538
