id,Date,Open,High,Low,Close,Volume,SMA-8,WMA-12,cci-20,rsi-14
0,1/3/2006,55.52,55.52,53.59,54.72,4473700,54.72,54.72,0.0,0.0
1,1/4/2006,54.53,54.76,54.18,54.65,4054300,54.66,54.65,0.0,0.0
2,1/5/2006,55.03,55.43,54.14,54.49,5378900,54.55,54.51,0.4484,0.0
3,1/6/2006,54.88,54.92,53.92,54.33,4067900,54.45,54.4,-0.7332,0.0
4,1/9/2006,54.2,54.66,54.15,54.4,3643300,54.48,54.48,-0.9028,25.0
5,1/10/2006,54.32,54.54,54.15,54.34,3580700,54.47,54.47,-1.1282,20.0
6,1/11/2006,53.91,54.34,53.64,54.34,3784800,54.47,54.5,-2.818,20.0
7,1/12/2006,54.28,54.28,53.58,53.93,2577300,54.47,54.53,-4.1836,16.6666666667
8,1/13/2006,54.16,54.7,54.08,54.38,2471800,54.35,54.44,0.1606,28.5714285714
9,1/17/2006,54.26,54.3,53.83,54.1,2716300,54.32,54.36,-3.2638,25.0
10,1/18/2006,53.65,54.25,53.57,53.94,3899200,54.26,54.3,-4.8764,22.2222222222
11,1/19/2006,54.63,54.73,54.02,54.42,3063500,54.2,54.27,1.1872,30.0
12,1/20/2006,54.59,54.67,53.58,53.58,4165200,54.21,54.22,-5.3165,27.2727272727
13,1/23/2006,53.53,53.75,52.56,52.75,4079300,54.1,54.16,-17.8039,25.0
14,1/24/2006,53.98,54.64,53.6,54.25,6506200,53.87,54.04,-0.6011,33.3333333333
15,1/25/2006,54.65,55.25,54.35,54.8,4665600,53.92,54.04,11.3166,41.6666666667
16,1/26/2006,55.0,55.12,53.5,53.9,5501500,53.98,53.94,-1.0626,41.6666666667
17,1/27/2006,54.75,54.93,54.02,54.17,3864400,53.95,53.9,3.057,41.6666666667
18,1/30/2006,54.38,54.78,54.27,54.37,2729300,53.98,53.91,5.1382,50.0
19,1/31/2006,54.55,54.83,54.12,54.75,3977300,53.97,53.8,7.2855,53.8461538462
20,2/1/2006,54.6,55.17,54.07,54.74,3586800,54.14,53.94,9.4327,53.8461538462
21,2/2/2006,54.9,55.4,53.7,55.23,5666100,54.43,54.36,12.1169,53.8461538462
22,2/3/2006,54.71,55.37,54.36,54.96,3834800,54.57,54.44,14.6983,53.8461538462
23,2/6/2006,55.2,55.48,54.83,55.0,4283900,54.59,54.39,19.1403,61.5384615385
24,2/7/2006,55.04,55.17,54.17,54.31,3527300,54.75,54.6,5.4225,53.8461538462
25,2/8/2006,54.63,54.63,53.72,54.05,3483700,54.77,54.75,-4.6531,53.8461538462
26,2/9/2006,54.01,54.36,53.75,53.98,3788800,54.72,54.83,-7.098,53.8461538462
27,2/10/2006,53.9,54.77,53.7,54.61,4016100,54.61,54.8,0.4749,53.8461538462
28,2/13/2006,54.36,54.83,54.25,54.54,1953300,54.59,54.76,4.7488,46.1538461538
29,2/14/2006,54.26,55.44,54.01,55.43,3447000,54.49,54.58,14.3487,53.8461538462
30,2/15/2006,55.1,55.89,54.68,55.8,3599300,54.56,54.48,25.3367,53.8461538462
31,2/16/2006,54.9,55.26,54.15,54.59,5917900,54.67,54.4,4.8964,46.1538461538
32,2/17/2006,54.45,54.77,54.07,54.31,5187600,54.71,54.5,-3.2014,38.4615384615
33,2/21/2006,54.26,54.6,53.52,53.66,4621800,54.75,54.67,-16.9628,38.4615384615
34,2/22/2006,53.92,55.0,53.78,54.6,4116800,54.71,54.85,-2.8449,38.4615384615
35,2/23/2006,54.73,55.16,54.31,54.51,4243500,54.7,54.88,2.823,38.4615384615
36,2/24/2006,54.45,54.51,53.85,54.05,2838500,54.7,54.92,-11.5105,30.7692307692
37,2/27/2006,54.32,55.82,54.25,55.48,3697800,54.5,54.69,15.8625,38.4615384615
38,2/28/2006,55.1,55.34,54.27,54.4,4707500,54.46,54.35,1.8317,38.4615384615
39,3/1/2006,54.59,54.9,54.03,54.57,3469300,54.43,54.31,-2.8897,46.1538461538
40,3/2/2006,54.45,54.45,53.4,53.71,4024300,54.47,54.35,-19.5383,38.4615384615
41,3/3/2006,53.45,54.02,53.3,53.39,4077000,54.47,54.55,-25.1504,38.4615384615
42,3/6/2006,53.4,53.64,52.8,52.94,4801600,54.3,54.48,-33.8201,30.7692307692
43,3/7/2006,52.95,53.14,52.55,52.86,4455100,54.08,54.37,-36.8536,23.0769230769
44,3/8/2006,52.85,53.77,52.7,53.37,3269300,53.91,54.33,-23.562,30.7692307692
45,3/9/2006,53.5,53.54,52.59,52.75,2662100,53.61,53.87,-29.3473,30.7692307692
46,3/10/2006,52.75,53.78,52.71,53.31,3613600,53.37,53.61,-20.8119,38.4615384615
47,3/13/2006,53.45,53.58,53.15,53.36,3023900,53.19,53.26,-16.9371,38.4615384615
48,3/14/2006,53.16,54.61,53.16,54.54,3827900,53.14,53.12,0.722,46.1538461538
49,3/15/2006,54.65,54.7,53.27,53.72,4295700,53.3,53.1,-2.6288,46.1538461538
50,3/16/2006,54.0,54.17,53.64,53.72,2473300,53.42,53.22,-2.009,41.6666666667
51,3/17/2006,53.94,54.04,53.6,53.77,3624900,53.54,53.39,-1.9843,50.0
52,3/20/2006,53.65,53.9,53.27,53.53,2772600,53.6,53.44,-6.1696,41.6666666667
53,3/21/2006,53.55,53.93,52.98,53.36,5867700,53.71,53.68,-8.6255,41.6666666667
54,3/22/2006,53.36,53.94,53.11,53.56,4546700,53.71,53.78,-5.0299,50.0
55,3/23/2006,53.32,53.48,53.0,53.33,4167300,53.74,53.88,-8.9729,50.0
56,3/24/2006,53.6,53.83,53.03,53.71,3771700,53.57,53.64,-3.2134,58.3333333333
57,3/27/2006,53.51,53.81,53.1,53.17,2639500,53.57,53.6,-4.51,50.0
58,3/28/2006,53.07,53.7,53.07,53.25,3092600,53.49,53.54,-3.5013,58.3333333333
59,3/29/2006,53.35,53.58,53.11,53.3,3859300,53.42,53.45,-2.5378,58.3333333333
60,3/30/2006,53.12,53.45,52.5,52.75,5131600,53.38,53.42,-9.7095,50.0
61,3/31/2006,52.55,52.89,51.9,52.01,4836500,53.3,53.4,-20.3928,41.6666666667
62,4/3/2006,52.0,52.01,51.15,51.18,5488100,53.07,53.28,-33.6762,41.6666666667
63,4/4/2006,51.37,51.9,50.88,51.56,4553100,52.77,53.14,-31.8554,46.1538461538
64,4/5/2006,51.89,52.35,51.8,52.18,3943500,52.46,52.83,-18.1923,46.1538461538
65,4/6/2006,53.15,53.38,52.34,52.62,5378800,52.32,52.61,-6.1702,53.8461538462
66,4/7/2006,52.7,52.89,51.89,51.96,3401600,52.23,52.36,-14.4554,53.8461538462
67,4/10/2006,52.29,52.29,51.43,51.62,3595800,52.04,52.04,-20.8756,46.1538461538
68,4/11/2006,51.55,51.76,51.05,51.19,3073700,51.88,51.82,-25.4559,46.1538461538
69,4/12/2006,51.1,51.47,50.95,51.39,3519400,51.76,51.76,-23.6684,46.1538461538
70,4/13/2006,50.89,51.6,50.89,51.48,2950500,51.79,51.91,-20.0499,53.8461538462
71,4/17/2006,51.48,51.84,50.54,51.23,4389800,51.78,51.97,-19.3396,46.1538461538
72,4/18/2006,51.55,52.2,51.51,51.68,5311100,51.64,51.83,-8.7898,46.1538461538
73,4/19/2006,51.8,51.95,51.2,51.46,3802100,51.51,51.55,-10.978,46.1538461538
74,4/20/2006,51.05,51.9,51.05,51.6,3056700,51.44,51.42,-9.5154,53.8461538462
75,4/21/2006,51.8,51.81,50.77,50.85,4446900,51.43,51.38,-13.1091,53.8461538462
76,4/24/2006,51.62,52.04,51.1,51.8,4271800,51.38,51.43,-4.7146,53.8461538462
77,4/25/2006,51.91,52.34,51.61,52.08,3216700,51.44,51.44,1.1477,53.8461538462
78,4/26/2006,52.25,53.51,52.25,53.35,5258700,51.53,51.45,14.9331,53.8461538462
79,4/27/2006,54.22,54.22,52.44,53.46,4431200,51.83,51.6,19.3484,61.5384615385
80,4/28/2006,53.46,53.77,53.02,53.1,3858400,52.09,51.7,18.1133,61.5384615385
81,5/1/2006,53.5,54.1,53.02,53.12,4340800,52.32,51.92,19.1347,69.2307692308
82,5/2/2006,53.25,53.74,52.66,53.59,3139500,52.54,52.15,17.1283,69.2307692308
