id,Date,Open,High,Low,Close,Volume,SMA-8,WMA-12,cci-20,rsi-14
0,1/3/2006,44.63,45.5,44.34,45.39,5217300,45.39,45.39,-0.3163,0.0
1,1/4/2006,45.08,45.15,43.95,43.98,5900300,44.18,44.03,-1.9287,0.0
2,1/5/2006,43.69,43.9,43.4,43.58,4568900,43.9,43.72,-3.6989,0.0
3,1/6/2006,43.8,44.76,43.22,43.37,4205500,43.78,43.64,-3.0208,0.0
4,1/9/2006,43.1,43.93,43.05,43.91,4396800,44.01,44.09,-3.9358,25.0
5,1/10/2006,43.69,43.92,43.22,43.28,4929700,43.83,43.82,-5.1857,20.0
6,1/11/2006,43.2,43.42,43.06,43.2,3749200,43.82,43.93,-7.0146,16.6666666667
7,1/12/2006,43.2,43.59,43.2,43.35,4961800,43.82,44.09,-5.7247,28.5714285714
8,1/13/2006,43.69,43.77,43.14,43.39,2771700,43.52,43.62,-5.0907,37.5
9,1/17/2006,43.39,44.0,43.05,43.78,4022300,43.44,43.49,-2.5486,44.4444444444
10,1/18/2006,43.78,44.51,43.63,44.28,3865100,43.47,43.46,7.236,50.0
11,1/19/2006,44.38,44.68,44.08,44.39,2777200,43.6,43.52,13.1346,54.5454545455
12,1/20/2006,44.31,44.35,43.0,43.13,4434700,43.67,43.46,-6.9691,50.0
13,1/23/2006,43.0,43.0,42.41,42.42,3851400,43.65,43.55,-23.6201,46.1538461538
14,1/24/2006,42.5,43.06,42.13,42.7,2868800,43.53,43.63,-23.0509,53.8461538462
15,1/25/2006,42.52,42.69,42.15,42.5,3707300,43.44,43.65,-26.6744,53.8461538462
16,1/26/2006,42.93,43.06,42.61,42.99,2785300,43.31,43.63,-16.8158,61.5384615385
17,1/27/2006,43.27,43.67,42.72,42.89,2683000,43.2,43.49,-11.5345,53.8461538462
18,1/30/2006,42.95,43.13,42.75,42.82,1717000,43.0,43.17,-16.7923,53.8461538462
19,1/31/2006,42.95,43.67,42.9,43.28,3258100,42.78,42.77,-5.6939,61.5384615385
20,2/1/2006,43.17,43.41,42.79,43.34,3287500,42.8,42.69,-5.8513,61.5384615385
21,2/2/2006,44.0,44.2,43.12,43.69,3888200,42.93,42.81,9.2417,61.5384615385
22,2/3/2006,43.36,43.9,43.22,43.67,3239000,43.07,42.91,7.2484,53.8461538462
23,2/6/2006,43.52,43.83,43.15,43.77,2538800,43.24,43.09,7.1287,53.8461538462
24,2/7/2006,43.65,44.01,43.08,43.29,3252600,43.35,43.18,3.79,46.1538461538
25,2/8/2006,43.18,43.49,43.08,43.39,3664000,43.41,43.31,-0.0,53.8461538462
26,2/9/2006,43.27,43.44,42.88,43.0,2334800,43.49,43.48,-5.7752,53.8461538462
27,2/10/2006,42.87,43.36,42.61,43.26,1896600,43.45,43.52,-6.2911,53.8461538462
28,2/13/2006,42.87,43.44,42.82,43.38,1770400,43.44,43.55,-2.0505,61.5384615385
29,2/14/2006,44.1,44.83,43.9,44.83,4196500,43.39,43.47,33.1656,61.5384615385
30,2/15/2006,44.9,45.83,44.7,45.76,4114700,43.56,43.44,57.2351,69.2307692308
31,2/16/2006,45.8,46.36,45.53,45.9,3957700,43.84,43.46,70.6885,76.9230769231
32,2/17/2006,45.9,46.15,45.55,45.91,2743700,44.22,43.7,69.1849,76.9230769231
33,2/21/2006,46.0,46.19,45.48,45.83,2931300,44.58,43.99,68.2439,69.2307692308
