id,Date,Open,High,Low,Close,Volume,SMA-8,WMA-12,cci-20,rsi-14
0,1/3/2006,46.36,46.66,45.57,46.23,23413500,46.23,46.23,0.0162,0.0
1,1/4/2006,46.24,46.5,46.1,46.32,14087200,46.31,46.32,0.0329,100.0
2,1/5/2006,46.0,46.4,45.29,45.69,20758200,45.86,45.75,-0.2224,50.0
3,1/6/2006,45.69,45.88,45.1,45.88,21129800,45.97,45.94,-0.3301,66.6666666667
4,1/9/2006,45.89,46.15,45.56,45.71,14877400,45.89,45.85,-0.1589,50.0
5,1/10/2006,45.5,46.03,45.46,45.86,13422200,45.94,45.97,-0.1745,60.0
6,1/11/2006,46.06,46.6,45.76,46.57,14179300,46.04,46.17,0.635,66.6666666667
7,1/12/2006,46.25,46.39,45.67,45.74,11425000,46.04,46.03,-0.0801,57.1428571429
8,1/13/2006,45.68,45.89,45.31,45.4,10259300,45.97,45.97,-0.8342,50.0
9,1/17/2006,45.4,45.42,44.7,44.95,17117900,45.84,45.85,-1.9783,44.4444444444
10,1/18/2006,44.65,45.39,44.61,45.18,13191600,45.73,45.86,-1.8559,50.0
11,1/19/2006,45.18,45.89,45.06,45.8,18141600,45.63,45.79,-0.4555,54.5454545455
12,1/20/2006,45.64,45.7,44.81,45.0,19353600,45.64,45.78,-1.6785,50.0
13,1/23/2006,45.0,45.47,44.54,45.25,15611000,45.52,45.69,-1.971,53.8461538462
14,1/24/2006,45.55,45.91,45.5,45.72,18185800,45.33,45.38,0.1883,53.8461538462
15,1/25/2006,45.7,46.17,45.66,45.97,18986500,45.33,45.28,1.0081,61.5384615385
16,1/26/2006,46.21,46.51,45.83,46.32,16798500,45.41,45.28,2.1798,61.5384615385
17,1/27/2006,45.99,46.52,44.88,45.84,13385900,45.61,45.45,0.1731,61.5384615385
18,1/30/2006,46.4,46.95,46.21,46.41,15269000,45.7,45.58,3.662,61.5384615385
19,1/31/2006,46.44,46.53,46.03,46.11,12925400,45.79,45.57,2.2414,53.8461538462
20,2/1/2006,46.05,46.38,45.57,46.14,15193000,45.95,45.81,1.2795,61.5384615385
21,2/2/2006,46.3,46.48,45.47,46.28,18513100,46.07,46.01,1.5931,69.2307692308
22,2/3/2006,45.99,46.21,45.44,45.49,11329500,46.15,46.12,-0.2211,69.2307692308
23,2/6/2006,45.44,45.51,45.05,45.08,12184800,46.08,46.15,-2.5905,61.5384615385
24,2/7/2006,45.0,45.47,44.68,44.74,16189800,45.91,46.05,-3.6253,53.8461538462
25,2/8/2006,44.78,45.51,44.52,45.4,12344600,45.75,46.03,-2.5777,61.5384615385
26,2/9/2006,45.48,45.97,45.33,45.7,13131800,45.61,45.82,0.1722,61.5384615385
27,2/10/2006,45.6,45.95,45.31,45.75,8037700,45.55,45.68,0.2813,61.5384615385
28,2/13/2006,45.47,45.82,45.47,45.51,7161400,45.49,45.52,-0.0938,53.8461538462
29,2/14/2006,45.42,46.64,45.28,46.45,14872400,45.38,45.3,2.2256,53.8461538462
30,2/15/2006,46.29,46.93,45.89,46.89,11835300,45.52,45.3,4.0609,61.5384615385
31,2/16/2006,46.85,47.02,46.35,46.63,9074400,45.78,45.48,4.2964,53.8461538462
32,2/17/2006,46.63,46.63,45.8,46.1,15355200,46.05,45.81,1.6045,53.8461538462
33,2/21/2006,45.71,46.46,45.47,45.74,15374300,46.15,45.99,0.0,46.1538461538
34,2/22/2006,45.93,45.99,45.44,45.48,9910700,46.15,46.11,-1.2604,38.4615384615
35,2/23/2006,45.5,45.95,45.34,45.7,14826400,46.11,46.2,-1.0841,46.1538461538
36,2/24/2006,45.7,45.75,45.26,45.45,9652200,46.14,46.35,-1.7818,46.1538461538
37,2/27/2006,45.55,45.88,45.55,45.76,9051700,46.0,46.24,-0.5242,53.8461538462
38,2/28/2006,45.57,45.81,45.22,45.36,12302300,45.84,45.98,-1.5999,46.1538461538
39,3/1/2006,45.36,45.51,45.03,45.15,12042000,45.66,45.73,-2.5115,38.4615384615
40,3/2/2006,45.01,45.48,44.93,45.06,12518600,45.52,45.59,-2.6619,30.7692307692
41,3/3/2006,44.87,45.5,44.86,45.33,9508600,45.42,45.51,-2.0718,38.4615384615
42,3/6/2006,45.49,45.54,44.97,45.12,9749300,45.4,45.49,-2.0689,30.7692307692
43,3/7/2006,45.19,45.36,45.05,45.27,11246500,45.32,45.4,-1.9905,30.7692307692
44,3/8/2006,45.2,45.63,45.16,45.27,14478100,45.29,45.36,-1.4429,33.3333333333
45,3/9/2006,45.2,45.39,45.11,45.24,7233700,45.22,45.22,-1.9933,33.3333333333
46,3/10/2006,45.44,45.48,45.21,45.33,9321900,45.21,45.18,-1.4576,41.6666666667
47,3/13/2006,45.35,45.46,45.22,45.27,8837700,45.23,45.2,-1.4712,41.6666666667
48,3/14/2006,45.19,45.58,45.16,45.54,13714300,45.26,45.25,-0.9071,41.6666666667
49,3/15/2006,45.5,45.57,45.22,45.32,13990700,45.29,45.24,-0.9826,41.6666666667
50,3/16/2006,45.56,46.44,45.42,46.36,18556100,45.32,45.29,2.5781,41.6666666667
51,3/17/2006,46.6,46.79,46.29,46.69,12438300,45.48,45.35,5.1144,50.0
52,3/20/2006,47.03,48.07,46.99,47.76,19702000,45.68,45.45,9.762,58.3333333333
53,3/21/2006,48.2,48.45,47.72,48.11,13890300,46.04,45.65,11.6823,66.6666666667
54,3/22/2006,47.91,48.22,47.74,48.1,9025800,46.44,45.92,10.8286,58.3333333333
55,3/23/2006,48.19,48.87,48.05,48.54,14733200,46.84,46.32,12.5749,66.6666666667
56,3/24/2006,48.7,48.72,48.02,48.19,9726300,47.27,46.75,11.0962,58.3333333333
57,3/27/2006,48.19,48.3,47.9,47.95,8663800,47.68,47.34,9.3022,53.8461538462
