id,Date,Open,High,Low,Close,Volume,SMA-8,WMA-12,cci-20,rsi-14
0,1/3/2006,56.42,58.47,56.42,58.47,23871000,58.47,58.47,-0.0099,0.0
1,1/4/2006,58.6,58.84,58.06,58.57,19086500,58.56,58.57,0.122,100.0
2,1/5/2006,58.57,58.82,57.87,58.28,17158400,58.35,58.3,0.0707,50.0
3,1/6/2006,58.76,59.56,58.76,59.43,17368600,59.01,59.22,0.5339,66.6666666667
4,1/9/2006,59.8,59.87,59.27,59.4,17339100,58.99,59.1,0.7084,50.0
5,1/10/2006,59.2,60.16,59.16,59.86,17869600,59.12,59.21,0.8843,60.0
6,1/11/2006,59.68,60.49,59.32,60.27,17324500,59.18,59.13,1.2155,66.6666666667
7,1/12/2006,60.5,61.0,59.6,59.64,21130200,59.18,58.86,1.261,57.1428571429
8,1/13/2006,59.51,60.99,59.51,60.97,17074400,59.35,59.08,1.832,62.5
9,1/17/2006,61.26,61.74,61.08,61.54,18190900,59.69,59.36,3.432,66.6666666667
10,1/18/2006,61.72,61.75,60.12,60.68,16182000,60.16,59.83,2.315,60.0
11,1/19/2006,60.68,61.7,60.42,61.5,18861600,60.34,60.06,3.021,63.6363636364
12,1/20/2006,61.81,62.06,60.35,60.53,25991100,60.64,60.36,2.5541,58.3333333333
13,1/23/2006,60.53,61.64,60.12,61.2,19274100,60.73,60.58,2.5443,61.5384615385
14,1/24/2006,60.9,61.53,60.75,60.96,18075000,60.87,60.73,2.7905,53.8461538462
15,1/25/2006,61.34,61.65,59.55,60.21,24510000,61.05,61.08,1.1882,53.8461538462
16,1/26/2006,60.79,61.02,59.57,59.95,24559100,60.95,61.08,0.3623,46.1538461538
17,1/27/2006,60.36,61.53,60.31,61.29,21407300,60.72,60.87,2.9228,53.8461538462
18,1/30/2006,62.88,63.96,62.79,63.11,29442500,60.81,60.91,10.0363,53.8461538462
19,1/31/2006,62.75,63.45,62.3,62.75,24268400,61.04,60.79,8.5281,46.1538461538
20,2/1/2006,62.77,63.08,61.91,61.95,20586500,61.35,60.99,5.9804,46.1538461538
21,2/2/2006,61.9,62.29,61.21,61.95,21402900,61.46,61.06,3.668,41.6666666667
22,2/3/2006,61.65,61.82,61.03,61.39,18829000,61.6,61.22,1.6628,33.3333333333
23,2/6/2006,61.7,62.61,61.65,61.97,18758800,61.77,61.61,3.5868,41.6666666667
24,2/7/2006,61.59,61.85,60.4,60.55,21134000,62.06,62.14,-0.8244,33.3333333333
25,2/8/2006,60.0,60.64,59.68,60.39,21982500,61.95,62.3,-3.5078,33.3333333333
26,2/9/2006,60.55,61.39,59.74,59.92,22554900,61.56,61.92,-3.1482,25.0
27,2/10/2006,60.05,60.49,58.6,59.43,26186400,61.16,61.52,-6.1364,25.0
28,2/13/2006,59.43,60.35,59.11,59.6,16837000,60.8,61.23,-5.3175,33.3333333333
29,2/14/2006,59.26,59.9,58.8,59.55,21022500,60.46,60.86,-5.9179,33.3333333333
30,2/15/2006,59.81,59.95,59.05,59.76,21669900,60.2,60.56,-5.0284,33.3333333333
31,2/16/2006,59.9,60.25,59.51,60.25,20057500,59.89,60.04,-3.2963,33.3333333333
32,2/17/2006,60.37,60.68,60.21,60.55,19198900,59.84,59.87,-1.4778,41.6666666667
33,2/21/2006,61.0,61.3,60.65,60.76,17650700,59.87,59.73,0.0801,50.0
34,2/22/2006,60.6,60.74,59.96,60.26,15694500,59.99,59.75,-1.8863,46.1538461538
35,2/23/2006,60.01,60.54,59.63,59.83,17732100,60.1,59.92,-2.948,46.1538461538
36,2/24/2006,60.34,60.73,60.18,60.42,13178800,60.14,60.05,-1.3933,46.1538461538
37,2/27/2006,60.2,60.52,59.9,59.92,12549500,60.26,60.23,-2.4174,46.1538461538
38,2/28/2006,59.52,59.75,59.1,59.37,19191800,60.28,60.36,-4.2165,46.1538461538
39,3/1/2006,59.59,60.54,59.53,60.34,16335400,60.16,60.34,-1.1202,53.8461538462
40,3/2/2006,60.04,60.98,59.98,60.85,19730500,60.13,60.23,0.8132,61.5384615385
41,3/3/2006,60.83,61.5,60.81,60.98,18221500,60.14,60.08,2.6544,61.5384615385
42,3/6/2006,60.95,61.09,59.94,59.98,16294000,60.24,60.08,0.1886,61.5384615385
43,3/7/2006,59.9,60.02,59.45,59.85,18673700,60.27,60.18,-1.3807,53.8461538462
44,3/8/2006,59.45,60.41,59.15,59.71,22159000,60.18,60.13,-1.2334,46.1538461538
45,3/9/2006,59.94,60.01,58.86,58.92,21827400,60.15,60.18,-2.7601,38.4615384615
46,3/10/2006,58.92,59.21,58.44,59.18,20252800,60.09,60.36,-3.6071,38.4615384615
47,3/13/2006,59.68,59.96,59.45,59.64,16885300,59.92,60.26,-1.0729,46.1538461538
48,3/14/2006,59.55,60.87,59.44,60.81,18285100,59.75,59.99,1.1933,53.8461538462
49,3/15/2006,60.67,61.2,60.41,61.02,17998000,59.73,59.67,2.6888,53.8461538462
50,3/16/2006,60.97,61.92,60.85,61.64,18976400,59.88,59.65,4.4272,61.5384615385
51,3/17/2006,61.8,61.8,60.99,61.05,26912700,60.13,59.72,3.5492,61.5384615385
52,3/20/2006,60.77,61.35,60.33,60.66,16775400,60.32,59.87,1.7615,53.8461538462
53,3/21/2006,60.66,61.23,60.37,60.72,20732300,60.57,60.28,1.7394,53.8461538462
54,3/22/2006,60.63,61.49,60.62,61.05,16100800,60.79,60.69,2.6061,53.8461538462
55,3/23/2006,61.11,61.35,60.92,61.25,15432300,60.99,61.02,2.8461,61.5384615385
56,3/24/2006,61.15,61.69,60.91,61.17,15435600,61.06,61.09,2.9966,61.5384615385
57,3/27/2006,61.11,61.47,60.93,61.29,11839200,61.08,61.1,2.7152,69.2307692308
58,3/28/2006,61.45,61.89,60.86,60.95,20224900,61.03,60.95,2.4032,69.2307692308
59,3/29/2006,60.95,61.5,60.95,61.28,19115600,61.01,60.94,2.2416,69.2307692308
60,3/30/2006,61.25,61.73,61.0,61.12,15759800,61.1,61.05,2.2788,61.5384615385
61,3/31/2006,60.9,61.18,60.82,60.86,19309600,61.16,61.16,1.1287,53.8461538462
62,4/3/2006,61.36,61.98,60.87,61.03,16697300,61.13,61.18,2.1817,53.8461538462
63,4/4/2006,60.65,62.01,60.43,61.75,14876800,61.1,61.14,2.2701,53.8461538462
64,4/5/2006,61.63,62.18,61.55,62.16,15788800,61.18,61.14,3.9112,61.5384615385
65,4/6/2006,61.6,62.7,61.6,62.09,15409100,61.31,61.15,4.0313,61.5384615385
66,4/7/2006,61.77,62.59,61.23,61.33,16137600,61.47,61.28,2.0393,53.8461538462
67,4/10/2006,61.9,62.1,61.5,61.94,12956600,61.48,61.33,2.121,53.8461538462
68,4/11/2006,62.2,62.73,61.8,62.0,14726500,61.59,61.45,3.0412,53.8461538462
69,4/12/2006,62.05,62.26,61.2,61.46,14117900,61.76,61.67,0.9157,53.8461538462
70,4/13/2006,61.29,61.78,61.0,61.56,11561100,61.82,61.87,0.1997,53.8461538462
71,4/17/2006,61.94,62.19,61.61,62.05,11568200,61.79,61.88,1.9392,61.5384615385
72,4/18/2006,62.49,63.8,62.45,63.54,22318000,61.78,61.78,6.3784,61.5384615385
73,4/19/2006,63.1,64.48,62.93,64.3,20922200,61.98,61.75,8.2391,69.2307692308
74,4/20/2006,64.0,64.78,63.33,63.92,23154900,62.41,62.02,8.1501,69.2307692308
75,4/21/2006,64.2,65.0,64.1,65.0,21759600,62.69,62.21,10.171,69.2307692308
76,4/24/2006,64.76,64.87,64.24,64.41,16362500,63.12,62.49,8.9067,61.5384615385
77,4/25/2006,64.85,64.98,63.13,63.95,21780700,63.54,63.01,6.5344,53.8461538462
78,4/26/2006,63.98,64.8,63.01,63.1,23214800,63.88,63.59,4.6383,53.8461538462
79,4/27/2006,61.5,63.4,61.0,62.42,27314900,64.03,64.09,-0.9244,53.8461538462
80,4/28/2006,62.57,63.5,62.52,63.08,20652600,63.87,64.17,1.7414,53.8461538462
81,5/1/2006,63.4,64.33,63.32,63.42,19771500,63.7,64.02,3.8196,53.8461538462
82,5/2/2006,63.82,64.77,63.82,64.67,18963700,63.63,63.94,6.1339,61.5384615385
83,5/3/2006,64.6,64.77,63.2,63.77,22925000,63.58,63.59,3.6635,53.8461538462
84,5/4/2006,63.77,64.41,62.89,63.31,23185600,63.49,63.36,1.8048,46.1538461538
85,5/5/2006,63.9,64.05,63.2,64.0,14156100,63.4,63.22,2.3687,46.1538461538
86,5/8/2006,63.6,64.09,63.17,63.71,16579800,63.52,63.33,1.5893,38.4615384615
87,5/9/2006,63.6,64.17,63.43,63.94,14028800,63.71,63.65,1.9906,46.1538461538
88,5/10/2006,63.5,63.95,63.0,63.88,15336100,63.83,63.84,0.711,38.4615384615
89,5/11/2006,64.1,64.26,63.25,63.46,18024900,63.9,63.96,0.4638,38.4615384615
90,5/12/2006,63.46,63.5,62.06,62.24,19198600,63.72,63.72,-4.2021,38.4615384615
91,5/15/2006,61.51,62.48,61.35,62.0,19512200,63.51,63.65,-7.007,38.4615384615
92,5/16/2006,62.11,62.71,61.54,61.96,15826300,63.32,63.66,-6.1919,38.4615384615
93,5/17/2006,61.45,61.74,59.94,60.18,26217600,63.03,63.41,-11.5159,30.7692307692
94,5/18/2006,60.25,61.0,59.86,59.89,19108000,62.52,63.12,-12.1402,23.0769230769
95,5/19/2006,59.9,61.04,59.5,60.45,26682500,61.94,62.62,-10.7762,23.0769230769
96,5/22/2006,59.95,61.41,59.56,60.78,22810600,61.45,62.01,-8.8285,30.7692307692
97,5/23/2006,61.3,61.72,60.19,60.39,19846500,61.07,61.41,-7.3618,30.7692307692
98,5/24/2006,60.0,60.9,59.15,60.1,24564600,60.81,61.05,-9.4281,23.0769230769
99,5/25/2006,60.78,61.93,60.52,61.52,19628300,60.54,60.69,-4.1663,30.7692307692
100,5/26/2006,61.53,61.71,60.86,61.58,13305000,60.47,60.32,-3.5885,30.7692307692
101,5/30/2006,61.7,61.8,60.11,60.2,17866300,60.67,60.44,-5.6298,30.7692307692
102,5/31/2006,60.21,61.06,59.76,60.91,25875200,60.72,60.65,-5.3007,38.4615384615
103,6/1/2006,60.4,61.15,60.01,61.11,17877100,60.78,60.73,-3.9871,46.1538461538
104,6/2/2006,61.5,61.85,60.51,61.65,17354500,60.83,60.74,-1.3382,53.8461538462
105,6/5/2006,62.1,62.2,60.0,60.05,20504100,61.01,60.9,-2.9545,53.8461538462
106,6/6/2006,60.0,61.31,59.9,60.4,23934600,61.0,61.12,-3.1547,61.5384615385
107,6/7/2006,60.3,60.36,58.8,58.82,28005800,60.84,60.95,-6.7664,61.5384615385
108,6/8/2006,58.38,59.7,57.82,59.57,33407200,60.45,60.67,-6.9162,61.5384615385
109,6/9/2006,59.89,59.9,58.5,58.8,21101200,60.36,60.71,-5.8862,53.8461538462
110,6/12/2006,59.05,59.35,58.13,58.24,18915600,60.06,60.5,-6.8555,53.8461538462
111,6/13/2006,57.75,58.3,56.65,56.65,27511500,59.65,60.13,-10.7936,53.8461538462
112,6/14/2006,56.65,57.99,56.64,57.8,24867900,58.93,59.45,-8.9161,53.8461538462
113,6/15/2006,58.48,59.55,57.96,59.12,24902100,58.61,59.09,-3.6876,53.8461538462
114,6/16/2006,58.95,59.49,58.17,58.8,27767200,58.43,58.6,-3.6313,53.8461538462
115,6/19/2006,58.77,58.81,57.21,57.39,20175700,58.43,58.5,-6.6694,46.1538461538
