Date,Open,High,Low,Close,Volume,Adj Close
2015-09-30,13.37,13.58,13.27,13.57,40022200,13.57
2015-09-29,13.14,13.21,13.01,13.15,43771600,13.15
2015-09-28,13.46,13.51,13.06,13.12,39869000,13.12
2015-09-25,13.87,13.87,13.51,13.53,35821000,13.53
2015-09-24,13.57,13.70,13.27,13.65,32042800,13.65
2015-09-23,13.93,13.95,13.51,13.68,31490300,13.68
2015-09-22,14.01,14.05,13.73,13.92,43565200,13.92
2015-09-21,14.20,14.43,14.15,14.32,20618800,14.32
2015-09-18,14.44,14.48,14.21,14.28,40017500,14.28
2015-09-17,14.61,14.88,14.46,14.60,37067000,14.60
2015-09-16,14.32,14.76,14.25,14.64,41462900,14.64
2015-09-15,13.80,14.37,13.79,14.31,46231900,14.31
2015-09-14,13.72,13.79,13.63,13.78,26074300,13.78
2015-09-11,13.75,13.81,13.53,13.71,22731200,13.71
2015-09-10,13.52,13.83,13.35,13.73,38458200,13.73
2015-09-09,13.81,13.84,13.47,13.53,30572400,13.53
2015-09-08,13.77,13.78,13.54,13.67,29646600,13.67
2015-09-04,13.68,13.70,13.40,13.56,31131200,13.56
2015-09-03,13.94,14.07,13.78,13.84,27134700,13.84
2015-09-02,13.99,14.00,13.63,13.87,29304900,13.87
2015-09-01,13.95,14.15,13.60,13.72,50075400,13.72
2015-08-31,13.76,13.94,13.51,13.87,37663900,13.87
2015-08-28,13.54,13.84,13.53,13.74,25569100,13.74
2015-08-27,13.46,13.67,13.23,13.56,41016700,13.56
2015-08-26,13.18,13.35,12.77,13.21,48194800,13.21
2015-08-25,13.85,13.86,12.90,12.90,46680800,12.90
2015-08-24,12.24,13.48,10.44,13.19,58719700,13.19
2015-08-21,14.29,14.38,13.84,13.86,41760600,13.86
2015-08-20,14.71,14.71,14.40,14.43,24046900,14.43
2015-08-19,14.78,14.98,14.76,14.77,22419200,14.77
2015-08-18,14.69,14.84,14.66,14.83,16783800,14.83
2015-08-17,14.76,14.77,14.57,14.68,16014800,14.68
2015-08-14,14.73,14.83,14.68,14.78,18395900,14.78
2015-08-13,14.64,14.85,14.59,14.71,20375400,14.71
2015-08-12,14.55,14.71,14.37,14.68,20864000,14.68
2015-08-11,14.80,14.80,14.61,14.70,26778800,14.70
2015-08-10,14.86,15.00,14.81,14.99,16759600,14.99
2015-08-07,14.85,14.92,14.75,14.80,14242300,14.80
2015-08-06,14.80,14.88,14.62,14.83,26811400,14.83
2015-08-05,14.99,15.04,14.72,14.80,22490000,14.80
2015-08-04,14.94,15.00,14.84,14.91,18845000,14.91
2015-08-03,14.97,15.04,14.85,14.94,26702300,14.94
2015-07-31,15.18,15.19,14.73,14.83,32654400,14.83
2015-07-30,15.21,15.30,14.96,15.10,34980300,15.10
2015-07-29,14.83,15.30,14.81,15.21,52125400,15.21
2015-07-28,14.96,15.00,14.60,14.83,56398500,14.68
2015-07-27,14.35,14.60,14.23,14.55,43857200,14.402833
2015-07-24,14.72,14.73,14.32,14.39,26050900,14.244451
2015-07-23,14.75,14.87,14.59,14.61,29440400,14.462225
2015-07-22,14.49,14.51,14.35,14.42,30909700,14.274147
2015-07-21,14.53,14.55,14.45,14.51,19334700,14.363237
2015-07-20,14.71,14.75,14.53,14.57,25428200,14.42263
2015-07-17,14.51,14.69,14.48,14.69,31718000,14.541416
2015-07-16,14.74,14.79,14.45,14.57,33938900,14.42263
2015-07-15,14.83,14.86,14.61,14.75,21892100,14.600809
2015-07-14,14.71,14.86,14.59,14.81,20830700,14.660203
2015-07-13,14.64,14.65,14.42,14.64,19864000,14.491922
2015-07-10,14.48,14.54,14.35,14.48,20093600,14.33354
2015-07-09,14.60,14.62,14.27,14.33,29660700,14.185058
2015-07-08,14.67,14.72,14.27,14.37,42278500,14.224653
2015-07-07,14.77,14.90,14.52,14.85,28151300,14.699798
2015-07-06,14.75,14.90,14.70,14.79,22609800,14.640405
2015-07-02,15.01,15.08,14.81,14.87,18482400,14.719596
2015-07-01,15.14,15.17,14.80,14.99,31744500,14.838382
2015-06-30,15.17,15.18,14.90,15.01,28509300,14.85818
2015-06-29,15.23,15.30,14.92,15.02,38117400,14.868079
2015-06-26,15.43,15.49,15.35,15.40,20428200,15.244235
2015-06-25,15.52,15.56,15.39,15.44,23994400,15.28383
2015-06-24,15.50,15.66,15.42,15.50,35401000,15.343224
2015-06-23,15.23,15.41,15.22,15.29,21177800,15.135348
2015-06-22,15.14,15.25,15.10,15.13,18863800,14.976966
2015-06-19,15.09,15.25,15.06,15.11,24675100,14.957168
2015-06-18,15.03,15.24,15.00,15.14,21360500,14.986865
2015-06-17,15.01,15.08,14.86,15.02,25842100,14.868079
2015-06-16,15.01,15.04,14.93,15.00,23359500,14.848281
2015-06-15,15.06,15.11,14.97,15.05,23825400,14.897775
2015-06-12,15.20,15.35,15.18,15.23,19847300,15.075954
2015-06-11,15.11,15.35,15.08,15.28,27187100,15.125448
2015-06-10,15.01,15.08,14.95,15.03,20961100,14.877977
2015-06-09,14.92,15.01,14.84,14.88,20454700,14.729495
2015-06-08,14.83,15.01,14.80,14.90,30240600,14.749292
2015-06-05,15.02,15.02,14.78,14.78,44736900,14.630506
2015-06-04,15.13,15.17,15.01,15.05,23428400,14.897775
2015-06-03,15.29,15.32,15.12,15.20,24311600,15.046258
2015-06-02,15.44,15.50,15.21,15.26,34974700,15.105651
2015-06-01,15.33,15.45,15.19,15.36,26685300,15.204639
2015-05-29,15.31,15.40,15.16,15.17,19060400,15.016561
2015-05-28,15.28,15.34,15.24,15.29,13959000,15.135348
2015-05-27,15.23,15.37,15.20,15.32,18763900,15.165044
2015-05-26,15.27,15.34,15.15,15.19,25002900,15.036359
2015-05-22,15.50,15.50,15.27,15.27,24795800,15.11555
2015-05-21,15.28,15.55,15.26,15.51,23962000,15.353123
2015-05-20,15.54,15.56,15.26,15.30,22391500,15.145247
2015-05-19,15.59,15.63,15.45,15.50,15145300,15.343224
2015-05-18,15.47,15.64,15.45,15.58,19491900,15.422414
2015-05-15,15.27,15.49,15.27,15.48,18937700,15.323425
2015-05-14,15.50,15.54,15.20,15.27,28794700,15.11555
2015-05-13,15.54,15.62,15.37,15.41,20890400,15.254134
2015-05-12,15.59,15.65,15.50,15.56,17670000,15.402617
2015-05-11,15.65,15.84,15.64,15.65,17249800,15.491706
2015-05-08,15.62,15.71,15.59,15.67,21336800,15.511504
2015-05-07,15.46,15.56,15.14,15.51,26996600,15.353123
2015-05-06,15.61,15.66,15.40,15.48,26381200,15.323425
2015-05-05,15.77,15.82,15.52,15.53,32248900,15.37292
2015-05-04,15.81,15.88,15.75,15.78,15078700,15.620391
2015-05-01,15.90,15.94,15.70,15.81,20602200,15.650088
2015-04-30,15.97,16.040001,15.74,15.80,30269300,15.640189
2015-04-29,15.86,16.10,15.82,16.02,35126900,15.857964
2015-04-28,15.93,16.08,15.77,16.059999,56634200,15.749076
2015-04-27,15.82,16.00,15.77,15.90,34824900,15.592174
2015-04-24,15.73,15.87,15.70,15.77,20293300,15.464691
2015-04-23,15.84,15.90,15.70,15.76,28458000,15.454885
2015-04-22,15.83,15.93,15.72,15.91,20312100,15.60198
2015-04-21,15.92,15.98,15.76,15.82,18509500,15.513723
2015-04-20,15.89,15.92,15.82,15.91,15250800,15.60198
2015-04-17,15.88,15.88,15.71,15.76,32149000,15.454885
2015-04-16,16.040001,16.09,15.93,15.94,23494400,15.631399
2015-04-15,16.01,16.08,16.00,16.07,25503500,15.758882
2015-04-14,15.90,16.049999,15.89,15.97,21745900,15.660819
2015-04-13,16.00,16.08,15.87,15.87,22521100,15.562755
2015-04-10,15.97,16.049999,15.95,16.030001,17657700,15.719658
2015-04-09,16.00,16.07,15.88,15.95,23461900,15.641206
2015-04-08,15.97,16.09,15.95,15.98,25147000,15.670625
2015-04-07,15.95,15.97,15.78,15.90,26616700,15.592174
2015-04-06,15.95,16.110001,15.90,16.00,18522100,15.690238
2015-04-02,15.93,16.040001,15.85,16.030001,15925400,15.719658
2015-04-01,16.16,16.16,15.85,15.91,27365900,15.60198
2015-03-31,16.120001,16.290001,16.08,16.139999,21792600,15.827527
2015-03-30,16.120001,16.280001,16.049999,16.16,20537600,15.84714
2015-03-27,16.059999,16.10,15.85,15.98,53270400,15.670625
2015-03-26,16.110001,16.17,15.96,16.01,33327900,15.700045
2015-03-25,16.530001,16.549999,16.18,16.18,21996200,15.866753
2015-03-24,16.58,16.690001,16.469999,16.559999,16661800,16.239396
2015-03-23,16.469999,16.74,16.459999,16.57,30709000,16.249202
2015-03-20,16.35,16.540001,16.34,16.48,42096800,16.160945
2015-03-19,16.42,16.459999,16.280001,16.34,18021500,16.023656
2015-03-18,16.309999,16.51,16.110001,16.459999,33748000,16.141331
2015-03-17,16.389999,16.49,16.360001,16.389999,20917700,16.072687
2015-03-16,16.26,16.50,16.24,16.49,37731700,16.170751
2015-03-13,16.16,16.25,16.00,16.200001,27877700,15.886367
2015-03-12,15.88,16.23,15.86,16.17,31172200,15.856947
2015-03-11,15.77,15.85,15.70,15.75,20638700,15.445078
2015-03-10,15.94,15.95,15.69,15.72,31687700,15.415659
2015-03-09,15.98,16.10,15.93,16.030001,17132400,15.719658
2015-03-06,16.040001,16.200001,15.91,15.93,24420500,15.621594
2015-03-05,16.09,16.23,16.09,16.110001,16548200,15.798109
2015-03-04,16.09,16.139999,15.93,16.030001,25659400,15.719658
2015-03-03,16.07,16.299999,16.059999,16.17,37689000,15.856947
2015-03-02,16.34,16.59,16.34,16.57,26341100,16.249202
2015-02-27,16.379999,16.40,16.219999,16.34,20337000,16.023656
2015-02-26,16.40,16.57,16.370001,16.379999,20800000,16.06288
2015-02-25,16.34,16.620001,16.34,16.51,23320200,16.190365
2015-02-24,16.360001,16.42,16.280001,16.360001,17672500,16.043269
2015-02-23,16.33,16.450001,16.290001,16.379999,19016800,16.06288
2015-02-20,16.389999,16.459999,16.25,16.40,21523600,16.082494
2015-02-19,16.190001,16.48,16.17,16.43,24863900,16.111913
2015-02-18,16.16,16.33,16.059999,16.209999,22812700,15.896171
2015-02-17,16.209999,16.299999,16.00,16.110001,44362300,15.798109
2015-02-13,16.33,16.360001,16.190001,16.299999,19954600,15.984429
2015-02-12,16.34,16.450001,16.299999,16.360001,23738800,16.043269
2015-02-11,16.08,16.309999,16.01,16.25,34285300,15.935398
2015-02-10,16.049999,16.139999,15.91,16.09,27928500,15.778496
2015-02-09,15.76,16.030001,15.72,15.92,20286700,15.611787
2015-02-06,15.84,16.00,15.77,15.86,28016500,15.552948
2015-02-05,16.01,16.02,15.75,15.85,25713200,15.543142
2015-02-04,15.68,16.02,15.65,15.87,41179500,15.562755
2015-02-03,15.47,15.79,15.44,15.65,48335400,15.347014
2015-02-02,14.75,15.30,14.74,15.27,40371800,14.974371
2015-01-30,14.75,14.89,14.63,14.71,30439700,14.425213
2015-01-29,14.62,14.96,14.30,14.85,40731100,14.562503
2015-01-28,14.83,14.83,14.42,14.46,40579800,14.180053
2015-01-27,14.96,14.99,14.72,14.85,34609100,14.415406
2015-01-26,14.98,15.15,14.97,15.08,25237200,14.638675
2015-01-23,15.02,15.08,14.89,14.91,21620600,14.47365
2015-01-22,15.01,15.07,14.90,15.03,23669200,14.590138
2015-01-21,14.98,15.11,14.88,14.97,23281500,14.531894
2015-01-20,15.08,15.13,14.75,15.01,28553700,14.570724
2015-01-16,14.81,15.04,14.75,15.02,32089900,14.580431
2015-01-15,15.11,15.16,14.80,14.86,24981300,14.425113
2015-01-14,15.07,15.16,14.83,15.11,36798300,14.667797
2015-01-13,15.38,15.48,15.08,15.21,26279400,14.764871
2015-01-12,15.31,15.32,15.11,15.22,22750800,14.774578
2015-01-09,15.46,15.47,15.06,15.21,23420800,14.764871
2015-01-08,15.40,15.48,15.23,15.42,33943400,14.968725
2015-01-07,14.78,15.09,14.77,15.04,26065300,14.599846
2015-01-06,14.88,14.90,14.38,14.62,32981600,14.192137
2015-01-05,15.12,15.13,14.69,14.76,44079700,14.32804
2015-01-02,15.59,15.65,15.18,15.36,24777900,14.91048
2014-12-31,15.51,15.64,15.47,15.50,17930200,15.046383
