Date,Open,High,Low,Close,Volume,Adj Close
2015-09-30,64.43,64.940002,63.93,64.839996,7899600,64.839996
2015-09-29,63.75,64.040001,63.23,63.779999,7631100,63.779999
2015-09-28,63.599998,63.950001,63.48,63.66,9260600,63.66
2015-09-25,64.07,64.459999,63.619999,63.779999,7142500,63.779999
2015-09-24,63.360001,63.98,63.299999,63.830002,6822300,63.830002
2015-09-23,63.720001,63.93,63.119999,63.720001,5856700,63.720001
2015-09-22,63.23,63.82,62.919998,63.59,8592000,63.59
2015-09-21,63.75,64.00,63.369999,63.720001,7117300,63.720001
2015-09-18,63.75,64.230003,63.259998,63.34,12786000,63.34
2015-09-17,64.699997,65.290001,64.160004,64.470001,7039800,64.470001
2015-09-16,64.599998,64.769997,64.050003,64.690002,5624100,64.690002
2015-09-15,64.480003,64.699997,64.050003,64.32,6800200,64.32
2015-09-14,64.650002,64.669998,63.82,64.279999,6900100,64.279999
2015-09-11,64.18,64.68,63.990002,64.650002,8027300,64.650002
2015-09-10,64.07,64.650002,63.830002,64.120003,14510800,64.120003
2015-09-09,66.860001,67.010002,65.010002,65.120003,9420500,65.120003
2015-09-08,65.230003,66.50,65.18,66.379997,17611200,66.379997
2015-09-04,64.07,64.300003,63.509998,63.889999,9208000,63.889999
2015-09-03,64.720001,65.010002,64.389999,64.860001,8486300,64.860001
2015-09-02,64.589996,64.940002,64.059998,64.440002,9437400,64.440002
2015-09-01,63.799999,64.32,63.27,63.82,13374000,63.82
2015-08-31,64.82,65.00,64.290001,64.730003,8126000,64.730003
2015-08-28,66.089996,66.120003,64.449997,64.940002,14296800,64.940002
2015-08-27,65.32,66.18,64.949997,66.080002,13737900,66.080002
2015-08-26,64.230003,64.849998,63.02,64.830002,13888600,64.830002
2015-08-25,65.449997,65.709999,63.00,63.099998,14532100,63.099998
2015-08-24,63.740002,66.160004,61.50,63.950001,22018100,63.950001
2015-08-21,67.910004,68.309998,66.540001,66.540001,15550200,66.540001
2015-08-20,68.080002,69.300003,67.940002,68.43,9841000,68.43
2015-08-19,68.870003,69.389999,67.769997,68.57,16301600,68.57
2015-08-18,70.00,70.50,69.239998,69.480003,21166300,69.480003
2015-08-17,71.830002,72.230003,71.760002,71.910004,7496400,71.910004
2015-08-14,72.300003,72.599998,72.040001,72.379997,5853300,72.379997
2015-08-13,72.400002,72.769997,71.970001,72.110001,7547500,72.110001
2015-08-12,71.529999,72.660004,71.269997,72.580002,8841400,72.580002
2015-08-11,71.25,72.370003,71.150002,71.93,6713100,71.93
2015-08-10,71.50,71.75,71.339996,71.480003,5913600,71.480003
2015-08-07,72.709999,72.830002,71.169998,71.25,7785800,71.25
2015-08-06,73.349998,73.379997,72.660004,72.790001,6367700,72.790001
2015-08-05,72.389999,73.690002,72.25,73.510002,8715800,73.510002
2015-08-04,72.419998,72.800003,71.93,72.25,5873400,71.760001
2015-08-03,71.839996,72.379997,71.839996,72.18,5131800,71.690476
2015-07-31,72.440002,72.489998,71.660004,71.980003,7928400,71.491835
2015-07-30,72.029999,72.529999,71.779999,72.160004,4604500,71.670615
2015-07-29,72.25,72.629997,72.089996,72.230003,4939700,71.74014
2015-07-28,71.529999,72.389999,71.230003,72.099998,8592300,71.611017
2015-07-27,71.379997,71.650002,71.010002,71.379997,6197600,70.895898
2015-07-24,72.529999,72.559998,71.50,71.580002,5951100,71.094547
2015-07-23,73.07,73.220001,72.419998,72.510002,4252900,72.01824
2015-07-22,72.779999,73.82,72.779999,73.160004,6961600,72.663833
2015-07-21,73.099998,73.290001,72.529999,72.739998,6441100,72.246676
2015-07-20,73.349998,73.440002,73.059998,73.099998,5085600,72.604235
2015-07-17,73.739998,74.07,73.309998,73.389999,5680600,72.892269
2015-07-16,73.970001,74.139999,73.760002,73.830002,5231700,73.329287
2015-07-15,73.589996,73.900002,73.190002,73.650002,4566700,73.150508
2015-07-14,73.980003,74.089996,73.480003,73.790001,5518200,73.289557
2015-07-13,73.510002,74.110001,73.510002,73.879997,6084500,73.378943
2015-07-10,73.080002,73.550003,73.080002,73.120003,5579300,72.624103
2015-07-09,73.669998,73.730003,72.709999,72.779999,8695800,72.286405
2015-07-08,73.300003,73.589996,72.900002,73.059998,7791000,72.564505
2015-07-07,72.660004,73.860001,72.00,73.790001,12421300,73.289557
2015-07-06,71.379997,72.690002,71.379997,72.529999,10536500,72.038101
2015-07-02,72.019997,72.559998,71.660004,71.860001,6586100,71.372646
2015-07-01,71.599998,71.949997,70.360001,71.879997,10773900,71.392507
2015-06-30,71.809998,71.809998,70.779999,70.93,11102600,70.448953
2015-06-29,71.800003,72.00,71.410004,71.419998,8187800,70.935628
2015-06-26,71.959999,72.459999,71.870003,72.120003,6897800,71.630885
2015-06-25,72.449997,72.629997,71.830002,71.860001,5293200,71.372646
2015-06-24,72.559998,72.650002,72.139999,72.379997,7338400,71.889116
2015-06-23,72.889999,72.940002,72.339996,72.57,7876300,72.07783
2015-06-22,72.980003,73.190002,72.690002,72.790001,6489500,72.296339
2015-06-19,72.800003,73.220001,72.699997,72.739998,14550700,72.246676
2015-06-18,72.739998,73.480003,72.739998,72.980003,8376600,72.485053
2015-06-17,72.629997,72.900002,72.339996,72.730003,5703900,72.236749
2015-06-16,72.220001,72.580002,71.720001,72.349998,6215600,71.859321
