id,Date,Open,High,Low,Close,Volume,SMA-8,WMA-12,cci-20,rsi-14,DGS10,USD/EUR,USD/JPY,VALUE,IC4WSA,GDP,UNRATE
0,5/14/2012,101.74,102.3,101.27,101.94,7021400,101.94,101.94,-0.0191,0.0,1.78,0.7739,79.87,94.75,373250.0,16121.9,8.2
1,5/15/2012,102.04,102.66,100.71,100.9,8421000,101.05,100.94,-0.1475,0.0,1.76,0.777,79.93,93.97,373250.0,16121.9,8.2
2,5/16/2012,100.77,101.78,100.01,100.1,6423800,100.48,100.26,-0.5745,0.0,1.76,0.7805,79.97,92.78,373250.0,16121.9,8.2
3,5/17/2012,100.2,101.41,99.89,100.14,6527500,100.5,100.39,-0.6721,33.3333333333,1.7,0.7858,80.34,92.53,373250.0,16121.9,8.2
4,5/18/2012,100.48,100.75,98.24,98.46,11137700,99.78,99.4,-1.9601,25.0,1.71,0.7862,80.03,91.51,373250.0,16121.9,8.2
5,5/21/2012,98.81,99.74,98.35,99.69,6169400,100.13,100.3,-1.8272,40.0,1.75,0.7825,78.95,92.57,370250.0,16121.9,8.2
6,5/22/2012,99.93,100.68,98.73,99.32,6089700,100.08,100.31,-1.3843,33.3333333333,1.79,0.7826,79.26,91.44,370250.0,16121.9,8.2
7,5/23/2012,98.33,99.0,96.7,99.0,8013000,100.08,100.5,-3.5722,28.5714285714,1.73,0.7832,79.65,89.4,370250.0,16121.9,8.2
8,5/24/2012,99.26,100.12,98.55,100.06,6322300,99.66,99.93,-1.037,37.5,1.77,0.7912,79.57,90.36,370250.0,16121.9,8.2
9,5/25/2012,100.04,100.24,98.42,98.86,5561500,99.54,99.59,-1.8977,33.3333333333,1.75,0.7956,79.47,90.64,370250.0,16121.9,8.2
10,5/29/2012,99.81,100.85,99.5,100.24,5223200,99.36,99.41,0.6777,40.0,1.74,0.7956,79.45,90.75,373000.0,16121.9,8.2
11,5/30/2012,99.11,99.11,97.5,97.63,7284800,99.38,99.22,-5.0692,36.3636363636,1.63,0.7984,79.5,87.79,373000.0,16121.9,8.2
12,5/31/2012,98.06,99.16,96.68,98.31,9371100,99.26,99.42,-5.1587,41.6666666667,1.59,0.8038,79.25,86.52,373000.0,16121.9,8.2
13,6/1/2012,96.65,97.29,96.02,96.41,9243000,99.06,99.26,-9.525,38.4615384615,1.47,0.8076,78.7,83.17,373000.0,16121.9,8.2
14,6/4/2012,96.48,97.14,95.73,96.58,6794500,98.64,99.09,-9.8267,46.1538461538,1.53,0.8046,77.97,83.95,374500.0,16121.9,8.2
15,6/5/2012,96.39,96.87,95.78,96.49,5891600,98.3,98.92,-10.1358,46.1538461538,1.57,0.8038,78.18,84.31,374500.0,16121.9,8.2
16,6/6/2012,97.89,99.8,97.58,99.8,7145800,97.79,98.35,-0.0462,46.1538461538,1.66,0.8017,78.44,85.05,374500.0,16121.9,8.2
17,6/7/2012,100.98,102.0,100.18,100.39,7971600,97.92,98.11,7.4725,53.8461538462,1.66,0.7999,78.98,84.78,374500.0,16121.9,8.2
18,6/8/2012,99.89,101.0,99.69,100.84,5769900,97.94,97.54,5.9353,53.8461538462,1.65,0.7952,79.45,84.08,374500.0,16121.9,8.2
19,6/11/2012,101.99,102.33,99.57,99.91,7037100,98.4,97.73,6.3715,53.8461538462,1.6,0.7967,79.42,82.58,378750.0,16121.9,8.2
20,6/12/2012,100.2,100.9,99.56,100.74,5933400,98.63,97.81,5.7203,61.5384615385,1.67,0.7949,79.52,83.35,378750.0,16121.9,8.2
21,6/13/2012,100.68,101.4,99.71,100.13,5189900,99.25,98.52,5.994,53.8461538462,1.61,0.8006,79.46,82.56,378750.0,16121.9,8.2
22,6/14/2012,100.17,102.17,99.9,101.92,6540000,99.76,99.32,10.2815,61.5384615385,1.64,0.7979,79.53,83.83,378750.0,16121.9,8.2
23,6/15/2012,103.0,104.5,102.64,104.33,11091100,100.53,100.33,21.7039,61.5384615385,1.6,0.7949,79.35,84.03,378750.0,16121.9,8.2
24,6/18/2012,103.14,103.97,103.0,103.46,6630300,101.18,100.67,19.2684,61.5384615385,1.59,0.7906,78.68,83.26,381250.0,16121.9,8.2
25,6/19/2012,103.99,104.65,103.77,104.06,6115500,101.62,100.98,21.7984,61.5384615385,1.64,0.7906,79.1,83.99,381250.0,16121.9,8.2
26,6/20/2012,104.04,104.55,102.59,103.63,7609200,102.08,101.29,18.2242,61.5384615385,1.65,0.7918,78.98,81.06,381250.0,16121.9,8.2
27,6/21/2012,103.46,103.75,99.87,100.02,8492000,102.61,101.96,5.354,53.8461538462,1.63,0.7881,79.11,77.91,381250.0,16121.9,8.2
28,6/22/2012,100.65,101.12,99.58,100.44,11708600,102.51,102.41,0.7533,61.5384615385,1.69,0.7909,79.84,79.33,381250.0,16121.9,8.2
29,6/25/2012,99.34,99.56,98.17,99.08,7091000,102.55,103.01,-6.8273,53.8461538462,1.63,0.7953,80.38,78.76,381250.0,16121.9,8.2
30,6/26/2012,98.97,101.29,98.83,100.95,7616000,102.15,103.07,0.6361,53.8461538462,1.66,0.7992,79.99,79.34,381250.0,16121.9,8.2
31,6/27/2012,101.46,102.9,101.25,102.57,5740300,101.66,102.4,9.5782,53.8461538462,1.65,0.8001,79.52,80.27,381250.0,16121.9,8.2
32,6/28/2012,101.85,103.65,101.43,103.46,7010200,101.54,101.92,11.734,61.5384615385,1.6,0.801,79.59,77.72,381250.0,16121.9,8.2
33,6/29/2012,105.32,105.51,104.35,105.5,10651500,101.45,101.27,22.3195,61.5384615385,1.67,0.8026,79.44,85.04,381250.0,16121.9,8.2
34,7/2/2012,105.59,106.09,104.69,105.86,5695600,101.72,100.79,23.0178,69.2307692308,1.61,0.7893,79.75,83.72,380000.0,16227.9,8.2
35,7/3/2012,106.29,107.42,106.22,107.37,4079900,102.55,101.42,29.5412,69.2307692308,1.65,0.7925,79.65,87.74,380000.0,16227.9,8.2
36,7/5/2012,106.27,107.05,105.73,106.03,5045600,103.54,102.2,23.812,61.5384615385,1.62,0.7954,79.8,87.11,380000.0,16227.9,8.2
37,7/6/2012,104.99,105.35,104.39,105.07,4609000,104.53,103.56,14.5718,61.5384615385,1.57,0.8018,79.85,84.37,380000.0,16227.9,8.2
38,7/9/2012,104.97,105.04,103.55,104.46,5233300,105.12,104.6,9.8123,53.8461538462,1.53,0.8139,79.64,85.93,374500.0,16227.9,8.2
39,7/10/2012,104.87,105.39,103.29,103.88,6424200,105.39,105.31,7.6993,53.8461538462,1.53,0.8134,79.61,83.92,374500.0,16227.9,8.2
40,7/11/2012,104.31,105.63,104.02,104.85,5931000,105.45,105.81,10.7296,61.5384615385,1.54,0.8138,79.45,85.88,374500.0,16227.9,8.2
41,7/12/2012,104.31,106.08,104.27,105.03,7871500,105.36,105.77,11.3917,61.5384615385,1.5,0.8158,79.41,86.02,374500.0,16227.9,8.2
42,7/13/2012,105.34,106.19,104.87,106.01,6771800,105.24,105.62,14.0672,69.2307692308,1.52,0.8187,79.41,87.15,374500.0,16227.9,8.2
43,7/16/2012,105.71,107.25,105.5,106.78,5185100,105.05,105.04,19.1062,69.2307692308,1.5,0.8161,79.17,88.41,375500.0,16227.9,8.2
44,7/17/2012,106.99,107.5,105.58,107.43,6668200,105.15,104.82,20.5752,69.2307692308,1.53,0.817,78.99,89.07,375500.0,16227.9,8.2
45,7/18/2012,106.79,107.98,106.66,107.88,5519300,105.49,104.92,24.5957,69.2307692308,1.52,0.8144,78.98,89.88,375500.0,16227.9,8.2
46,7/19/2012,107.92,108.98,107.12,108.84,6829400,105.98,105.3,29.471,69.2307692308,1.54,0.8148,78.97,92.78,375500.0,16227.9,8.2
47,7/20/2012,108.16,109.25,107.5,109.19,9368100,106.69,106.01,30.3772,69.2307692308,1.49,0.8143,78.62,91.56,375500.0,16227.9,8.2
48,7/23/2012,107.25,108.28,106.03,107.95,5953200,107.31,106.62,18.9135,61.5384615385,1.47,0.8226,78.47,87.77,371750.0,16227.9,8.2
49,7/24/2012,108.16,108.16,104.61,106.3,6654900,107.73,107.3,7.4306,61.5384615385,1.44,0.8254,78.27,88.28,371750.0,16227.9,8.2
50,7/25/2012,106.52,106.77,105.28,106.06,5476400,107.77,107.73,2.2151,61.5384615385,1.43,0.8264,78.23,88.8,371750.0,16227.9,8.2
51,7/26/2012,107.59,108.63,107.26,108.27,6808200,107.66,107.96,18.3688,69.2307692308,1.45,0.8259,78.18,89.4,371750.0,16227.9,8.2
52,7/27/2012,109.38,109.5,107.13,109.26,8338800,107.78,108.04,21.8705,76.9230769231,1.58,0.8195,78.16,90.13,371750.0,16227.9,8.2
53,7/30/2012,108.87,109.93,108.76,109.82,5789900,107.98,108.07,28.9603,76.9230769231,1.53,0.8115,78.42,89.8,371250.0,16227.9,8.2
54,7/31/2012,109.55,110.82,109.53,109.58,10012500,108.12,107.89,32.4035,69.2307692308,1.51,0.8147,78.3,88.08,371250.0,16227.9,8.2
55,8/1/2012,109.72,111.23,109.14,110.5,8363800,108.18,107.64,34.7014,69.2307692308,1.56,0.8141,78.18,88.99,371250.0,16227.9,8.0
56,8/2/2012,109.46,109.93,108.47,109.25,6662200,108.54,107.78,22.6505,61.5384615385,1.51,0.8133,78.16,87.22,371250.0,16227.9,8.0
57,8/3/2012,111.14,111.88,110.9,111.12,5967600,108.96,108.45,43.2042,61.5384615385,1.6,0.8178,78.33,91.4,371250.0,16227.9,8.0
58,8/6/2012,110.75,112.1,110.7,111.31,5201900,109.69,109.36,42.564,61.5384615385,1.59,0.8072,78.45,92.3,374000.0,16227.9,8.0
59,8/7/2012,111.6,112.39,111.51,111.95,5453300,110.12,109.82,47.9049,61.5384615385,1.66,0.807,78.36,93.68,374000.0,16227.9,8.0
60,8/8/2012,111.5,112.64,111.36,112.14,5443400,110.5,110.13,47.8085,61.5384615385,1.68,0.8059,78.41,93.39,374000.0,16227.9,8.0
61,8/9/2012,112.26,113.28,111.73,112.63,4846700,110.84,110.38,53.3167,69.2307692308,1.69,0.8082,78.46,93.39,374000.0,16227.9,8.0
