id,Date,Open,High,Low,Close,Volume,SMA-8,WMA-12,cci-20,rsi-14,DGS10,USD/EUR,USD/JPY,VALUE,IC4WSA,GDP,UNRATE
0,5/14/2012,10.41,10.53,10.3,10.32,50225200,10.32,10.32,0.0542,0.0,1.78,0.7739,79.87,94.75,373250.0,16121.9,8.2
1,5/15/2012,10.34,10.34,10.1,10.15,41886500,10.17,10.16,-0.208,0.0,1.76,0.777,79.93,93.97,373250.0,16121.9,8.2
2,5/16/2012,10.23,10.43,10.15,10.16,44321300,10.18,10.17,-0.0525,50.0,1.76,0.7805,79.97,92.78,373250.0,16121.9,8.2
3,5/17/2012,10.16,10.25,10.01,10.01,49648900,10.1,10.06,-0.4583,33.3333333333,1.7,0.7858,80.34,92.53,373250.0,16121.9,8.2
4,5/18/2012,10.08,10.18,9.96,10.01,50572000,10.1,10.08,-0.6069,33.3333333333,1.71,0.7862,80.03,91.51,373250.0,16121.9,8.2
5,5/21/2012,10.02,10.23,10.0,10.2,38134900,10.15,10.19,-0.257,50.0,1.75,0.7825,78.95,92.57,370250.0,16121.9,8.2
6,5/22/2012,10.25,10.4,10.15,10.19,44295700,10.15,10.17,0.2612,40.0,1.79,0.7826,79.26,91.44,370250.0,16121.9,8.2
7,5/23/2012,10.32,10.45,10.22,10.41,75647800,10.15,10.16,0.9561,50.0,1.73,0.7832,79.65,89.4,370250.0,16121.9,8.2
8,5/24/2012,10.5,10.62,10.38,10.59,45334100,10.16,10.12,2.1222,57.1428571429,1.77,0.7912,79.57,90.36,370250.0,16121.9,8.2
9,5/25/2012,10.61,10.68,10.51,10.6,30430800,10.22,10.14,2.7409,62.5,1.75,0.7956,79.47,90.64,370250.0,16121.9,8.2
10,5/29/2012,10.69,10.88,10.68,10.84,43760600,10.29,10.18,4.5526,66.6666666667,1.74,0.7956,79.45,90.75,373000.0,16121.9,8.2
11,5/30/2012,10.73,10.75,10.52,10.66,44592100,10.41,10.27,3.0375,60.0,1.63,0.7984,79.5,87.79,373000.0,16121.9,8.2
