id,Date,Open,High,Low,Close,Volume,SMA-8,WMA-12,cci-20,rsi-14,DGS10,USD/EUR,USD/JPY,VALUE,IC4WSA,GDP,UNRATE
0,5/14/2012,36.1,36.47,35.76,35.79,96488500,35.79,35.79,-0.0127,0.0,1.78,0.7739,79.87,94.75,373250.0,16121.9,8.2
1,5/15/2012,36.19,37.27,36.12,36.24,89903700,36.18,36.22,0.0919,100.0,1.76,0.777,79.93,93.97,373250.0,16121.9,8.2
2,5/16/2012,36.79,36.98,35.46,35.46,68729600,35.62,35.51,-0.1274,50.0,1.76,0.7805,79.97,92.78,373250.0,16121.9,8.2
3,5/17/2012,35.04,35.1,33.88,33.93,95429200,34.74,34.35,-1.0497,33.3333333333,1.7,0.7858,80.34,92.53,373250.0,16121.9,8.2
4,5/18/2012,33.99,33.99,32.97,33.49,82650100,34.56,34.27,-1.5961,25.0,1.71,0.7862,80.03,91.51,373250.0,16121.9,8.2
5,5/21/2012,33.52,33.71,32.26,32.51,99554800,34.28,34.08,-2.1475,20.0,1.75,0.7825,78.95,92.57,370250.0,16121.9,8.2
6,5/22/2012,33.32,34.58,32.99,34.01,84721000,34.49,34.9,-1.0724,33.3333333333,1.79,0.7826,79.26,91.44,370250.0,16121.9,8.2
7,5/23/2012,33.62,34.42,33.21,34.26,52512900,34.49,35.02,-0.9606,42.8571428571,1.73,0.7832,79.65,89.4,370250.0,16121.9,8.2
8,5/24/2012,34.44,34.48,33.62,33.97,37843800,34.27,34.64,-0.8577,37.5,1.77,0.7912,79.57,90.36,370250.0,16121.9,8.2
9,5/25/2012,34.0,34.13,33.29,33.5,28796400,33.95,34.06,-1.4798,33.3333333333,1.75,0.7956,79.47,90.64,370250.0,16121.9,8.2
10,5/29/2012,33.98,34.0,33.36,33.63,35855200,33.67,33.62,-1.4347,40.0,1.74,0.7956,79.45,90.75,373000.0,16121.9,8.2
11,5/30/2012,33.3,33.44,32.95,32.96,34203600,33.62,33.54,-2.4954,36.3636363636,1.63,0.7984,79.5,87.79,373000.0,16121.9,8.2
12,5/31/2012,32.96,33.47,32.91,33.15,42124900,33.55,33.55,-2.397,41.6666666667,1.59,0.8038,79.25,86.52,373000.0,16121.9,8.2
13,6/1/2012,32.41,32.65,31.77,31.93,50472200,33.64,33.84,-4.7679,38.4615384615,1.47,0.8076,78.7,83.17,373000.0,16121.9,8.2
14,6/4/2012,32.16,32.17,30.83,31.0,60492400,33.34,33.67,-6.6186,30.7692307692,1.53,0.8046,77.97,83.95,374500.0,16121.9,8.2
15,6/5/2012,30.89,32.13,30.86,31.99,46502800,32.88,33.32,-5.7879,38.4615384615,1.57,0.8038,78.18,84.31,374500.0,16121.9,8.2
16,6/6/2012,32.71,33.31,32.27,33.07,47980500,32.59,32.98,-2.4079,46.1538461538,1.66,0.8017,78.44,85.05,374500.0,16121.9,8.2
17,6/7/2012,33.77,33.83,32.8,32.81,53888800,32.53,32.74,-1.592,46.1538461538,1.66,0.7999,78.98,84.78,374500.0,16121.9,8.2
18,6/8/2012,32.77,33.68,32.55,33.68,34238200,32.42,32.44,-1.0992,53.8461538462,1.65,0.7952,79.45,84.08,374500.0,16121.9,8.2
19,6/11/2012,34.37,34.44,32.78,32.82,46404900,32.52,32.32,-0.9534,46.1538461538,1.6,0.7967,79.42,82.58,378750.0,16121.9,8.2
20,6/12/2012,32.88,33.78,32.51,33.77,43334400,32.47,32.16,-0.4567,46.1538461538,1.67,0.7949,79.52,83.35,378750.0,16121.9,8.2
21,6/13/2012,33.69,35.07,33.63,34.3,72456600,32.73,32.36,3.3573,53.8461538462,1.61,0.8006,79.46,82.56,378750.0,16121.9,8.2
22,6/14/2012,34.41,34.89,34.07,34.65,44428000,33.21,32.91,4.2791,61.5384615385,1.64,0.7979,79.53,83.83,378750.0,16121.9,8.2
23,6/15/2012,34.89,35.07,34.41,35.03,40917100,33.59,33.31,5.2387,61.5384615385,1.6,0.7949,79.35,84.03,378750.0,16121.9,8.2
24,6/18/2012,34.71,35.3,34.5,34.62,31084400,33.87,33.51,4.9256,61.5384615385,1.59,0.7906,78.68,83.26,381250.0,16121.9,8.2
25,6/19/2012,34.99,35.63,34.73,35.38,32489000,34.12,33.83,6.052,61.5384615385,1.64,0.7906,79.1,83.99,381250.0,16121.9,8.2
26,6/20/2012,36.03,36.94,35.83,36.45,61149700,34.37,34.01,9.7172,69.2307692308,1.65,0.7918,78.98,81.06,381250.0,16121.9,8.2
27,6/21/2012,36.49,37.03,35.43,35.51,95637000,34.89,34.52,7.9414,69.2307692308,1.63,0.7881,79.11,77.91,381250.0,16121.9,8.2
28,6/22/2012,36.02,36.49,35.96,35.99,44193500,35.13,34.86,8.1734,69.2307692308,1.69,0.7909,79.84,79.33,381250.0,16121.9,8.2
29,6/25/2012,35.26,35.47,34.64,35.32,33115800,35.38,35.13,4.3692,61.5384615385,1.63,0.7953,80.38,78.76,381250.0,16121.9,8.2
30,6/26/2012,36.06,36.12,35.58,35.71,35053600,35.47,35.34,6.3698,69.2307692308,1.66,0.7992,79.99,79.34,381250.0,16121.9,8.2
31,6/27/2012,35.64,36.82,35.5,36.78,34156800,35.57,35.47,7.8735,69.2307692308,1.65,0.8001,79.52,80.27,381250.0,16121.9,8.2
32,6/28/2012,35.32,35.93,34.85,35.88,69904800,35.88,35.79,4.5274,69.2307692308,1.6,0.801,79.59,77.72,381250.0,16121.9,8.2
33,6/29/2012,36.7,36.8,35.25,35.73,56063200,35.95,35.93,5.2482,61.5384615385,1.67,0.8026,79.44,85.04,381250.0,16121.9,8.2
34,7/2/2012,36.27,36.36,35.59,36.28,34274900,35.85,35.78,4.9957,61.5384615385,1.61,0.7893,79.75,83.72,380000.0,16227.9,8.2
35,7/3/2012,35.96,36.14,35.54,35.88,26705900,35.96,35.89,3.3936,53.8461538462,1.65,0.7925,79.65,87.74,380000.0,16227.9,8.2
36,7/5/2012,35.61,35.66,34.22,34.38,58519800,35.94,35.88,-1.1122,46.1538461538,1.62,0.7954,79.8,87.11,380000.0,16227.9,8.2
37,7/6/2012,33.92,34.12,33.73,33.9,32057200,35.81,36.0,-4.4951,46.1538461538,1.57,0.8018,79.85,84.37,380000.0,16227.9,8.2
38,7/9/2012,33.81,34.12,33.54,33.96,30545000,35.55,35.96,-4.7701,46.1538461538,1.53,0.8139,79.64,85.93,374500.0,16227.9,8.2
39,7/10/2012,34.22,34.45,33.81,34.25,33175500,35.14,35.55,-3.8029,46.1538461538,1.53,0.8134,79.61,83.92,374500.0,16227.9,8.2
40,7/11/2012,34.21,34.8,34.12,34.59,35144300,34.91,35.31,-2.7363,53.8461538462,1.54,0.8138,79.45,85.88,374500.0,16227.9,8.2
41,7/12/2012,34.33,34.57,33.94,34.04,39301500,34.75,35.06,-3.9478,46.1538461538,1.5,0.8158,79.41,86.02,374500.0,16227.9,8.2
42,7/13/2012,35.06,36.2,34.86,36.07,83001000,34.43,34.6,1.7214,53.8461538462,1.52,0.8187,79.41,87.15,374500.0,16227.9,8.2
43,7/16/2012,35.76,35.85,34.73,35.09,52368300,34.46,34.24,-0.2448,46.1538461538,1.5,0.8161,79.17,88.41,375500.0,16227.9,8.2
44,7/17/2012,35.44,35.48,34.27,34.99,43998300,34.56,34.29,-1.4585,38.4615384615,1.53,0.817,78.99,89.07,375500.0,16227.9,8.2
45,7/18/2012,34.75,35.23,34.65,34.96,28944900,34.71,34.49,-1.261,38.4615384615,1.52,0.8144,78.98,89.88,375500.0,16227.9,8.2
46,7/19/2012,35.02,35.17,34.31,34.46,34384700,34.86,34.71,-2.0599,38.4615384615,1.54,0.8148,78.97,92.78,375500.0,16227.9,8.2
47,7/20/2012,34.05,34.13,33.9,33.9,36301200,34.89,34.87,-4.2376,30.7692307692,1.49,0.8143,78.62,91.56,375500.0,16227.9,8.2
48,7/23/2012,33.24,34.5,33.1,34.44,41248300,34.79,34.92,-3.6812,38.4615384615,1.47,0.8226,78.47,87.77,371750.0,16227.9,8.2
49,7/24/2012,34.58,34.89,34.22,34.73,29920400,34.84,35.12,-1.2873,46.1538461538,1.44,0.8254,78.27,88.28,371750.0,16227.9,8.2
50,7/25/2012,34.98,35.45,34.79,35.17,32127700,34.65,34.77,0.8154,53.8461538462,1.43,0.8264,78.23,88.8,371750.0,16227.9,8.2
51,7/26/2012,35.78,35.94,35.34,35.81,28900500,34.66,34.66,3.0702,53.8461538462,1.45,0.8259,78.18,89.4,371750.0,16227.9,8.2
52,7/27/2012,36.01,37.2,35.51,36.89,63636200,34.78,34.61,6.0361,53.8461538462,1.58,0.8195,78.16,90.13,371750.0,16227.9,8.2
53,7/30/2012,36.5,36.52,35.94,36.14,30698200,35.06,34.63,4.7409,46.1538461538,1.53,0.8115,78.42,89.8,371250.0,16227.9,8.2
54,7/31/2012,36.11,36.33,35.91,36.0,19681600,35.3,34.84,4.2763,46.1538461538,1.51,0.8147,78.3,88.08,371250.0,16227.9,8.2
55,8/1/2012,36.19,36.4,35.82,36.0,22180200,35.6,35.27,4.2187,41.6666666667,1.56,0.8141,78.18,88.99,371250.0,16227.9,8.0
56,8/2/2012,35.62,35.84,34.76,35.17,36675000,35.82,35.61,1.0346,41.6666666667,1.51,0.8133,78.16,87.22,371250.0,16227.9,8.0
57,8/3/2012,35.82,36.29,35.5,36.09,24516300,35.88,35.9,3.333,50.0,1.6,0.8178,78.33,91.4,371250.0,16227.9,8.0
58,8/6/2012,36.24,36.8,36.11,36.3,18979200,36.01,36.11,4.5679,58.3333333333,1.59,0.8072,78.45,92.3,374000.0,16227.9,8.0
59,8/7/2012,36.57,37.87,36.57,37.01,37225800,36.08,36.18,6.8972,66.6666666667,1.66,0.807,78.36,93.68,374000.0,16227.9,8.0
60,8/8/2012,36.85,37.48,36.75,37.16,18672400,36.1,35.98,6.3592,75.0,1.68,0.8059,78.41,93.39,374000.0,16227.9,8.0
61,8/9/2012,36.72,37.26,36.59,36.92,23406700,36.25,36.01,5.0828,66.6666666667,1.69,0.8082,78.46,93.39,374000.0,16227.9,8.0
62,8/10/2012,36.76,37.0,36.4,36.97,15492700,36.38,36.11,4.3417,66.6666666667,1.65,0.8106,78.52,92.94,374000.0,16227.9,8.0
63,8/13/2012,36.87,37.09,36.65,36.99,14453500,36.52,36.23,4.5117,66.6666666667,1.65,0.8136,78.25,92.76,369500.0,16227.9,8.0
64,8/14/2012,37.42,37.64,36.98,37.1,18065100,36.78,36.64,5.4069,66.6666666667,1.73,0.8121,78.28,93.4,369500.0,16227.9,8.0
65,8/15/2012,37.07,37.41,36.95,37.07,17521300,36.92,36.84,4.6191,58.3333333333,1.8,0.8101,78.57,94.35,369500.0,16227.9,8.0
66,8/16/2012,37.18,37.35,36.8,37.1,15894100,37.03,37.03,3.9249,66.6666666667,1.83,0.8125,78.85,95.66,369500.0,16227.9,8.0
67,8/17/2012,37.2,37.2,36.8,36.98,17079800,37.04,37.04,2.9566,66.6666666667,1.81,0.8125,79.2,96.0,369500.0,16227.9,8.0
68,8/20/2012,36.92,37.5,36.8,37.37,17922100,37.02,37.0,3.2581,69.2307692308,1.82,0.8105,79.55,96.03,372000.0,16227.9,8.0
69,8/21/2012,37.63,38.86,37.56,38.04,36880600,37.08,37.04,6.4349,76.9230769231,1.8,0.8106,79.48,96.55,372000.0,16227.9,8.0
