id,Date,Open,High,Low,Close,Volume,SMA-8,WMA-12,cci-20,rsi-14,DGS10,USD/EUR,USD/JPY,VALUE,IC4WSA,GDP,UNRATE
0,5/14/2012,77.12,77.25,76.62,76.87,15411800,76.87,76.87,0.0066,0.0,1.78,0.7739,79.87,94.75,373250.0,16121.9,8.2
1,5/15/2012,76.56,77.15,76.26,76.57,16397800,76.61,76.58,-0.0199,0.0,1.76,0.777,79.93,93.97,373250.0,16121.9,8.2
2,5/16/2012,76.66,76.84,75.92,76.33,17804400,76.44,76.38,-0.0937,0.0,1.76,0.7805,79.97,92.78,373250.0,16121.9,8.2
3,5/17/2012,76.17,76.3,74.99,75.12,22310800,75.75,75.45,-0.3904,0.0,1.7,0.7858,80.34,92.53,373250.0,16121.9,8.2
4,5/18/2012,75.25,75.29,73.47,74.05,31913000,75.29,74.92,-0.9312,0.0,1.71,0.7862,80.03,91.51,373250.0,16121.9,8.2
5,5/21/2012,74.21,74.6,74.13,74.51,13488800,75.42,75.45,-0.8369,20.0,1.75,0.7825,78.95,92.57,370250.0,16121.9,8.2
6,5/22/2012,74.58,74.58,73.91,74.19,15260600,75.38,75.6,-0.9813,16.6666666667,1.79,0.7826,79.26,91.44,370250.0,16121.9,8.2
7,5/23/2012,74.0,74.57,73.82,74.55,18000000,75.38,75.89,-0.9022,28.5714285714,1.73,0.7832,79.65,89.4,370250.0,16121.9,8.2
8,5/24/2012,74.79,75.85,74.6,75.56,20204600,75.05,75.44,0.0138,37.5,1.77,0.7912,79.57,90.36,370250.0,16121.9,8.2
9,5/25/2012,75.62,75.69,75.01,75.23,8999600,74.9,75.02,-0.0208,33.3333333333,1.75,0.7956,79.47,90.64,370250.0,16121.9,8.2
10,5/29/2012,75.73,75.73,75.06,75.46,10533800,74.74,74.62,0.0967,40.0,1.74,0.7956,79.45,90.75,373000.0,16121.9,8.2
11,5/30/2012,75.07,75.25,74.82,75.06,13884600,74.79,74.54,-0.3472,36.3636363636,1.63,0.7984,79.5,87.79,373000.0,16121.9,8.2
12,5/31/2012,74.96,75.22,74.66,74.73,15147600,74.94,74.76,-0.5844,33.3333333333,1.59,0.8038,79.25,86.52,373000.0,16121.9,8.2
13,6/1/2012,73.99,74.45,73.01,73.09,20843400,74.97,74.88,-2.546,30.7692307692,1.47,0.8076,78.7,83.17,373000.0,16121.9,8.2
14,6/4/2012,73.03,73.74,72.56,73.64,13397200,74.81,75.03,-2.875,38.4615384615,1.53,0.8046,77.97,83.95,374500.0,16121.9,8.2
15,6/5/2012,73.33,73.64,73.05,73.24,12275200,74.68,75.07,-2.8821,38.4615384615,1.57,0.8038,78.18,84.31,374500.0,16121.9,8.2
16,6/6/2012,73.39,74.61,73.3,74.61,12496400,74.35,74.76,-1.3225,46.1538461538,1.66,0.8017,78.44,85.05,374500.0,16121.9,8.2
17,6/7/2012,74.99,75.06,74.2,74.28,14342800,74.26,74.52,-0.6885,46.1538461538,1.66,0.7999,78.98,84.78,374500.0,16121.9,8.2
18,6/8/2012,74.16,75.37,74.15,75.24,11594200,74.09,74.18,0.1264,46.1538461538,1.65,0.7952,79.45,84.08,374500.0,16121.9,8.2
19,6/11/2012,75.72,75.78,74.62,74.66,10657200,74.12,73.94,0.337,46.1538461538,1.6,0.7967,79.42,82.58,378750.0,16121.9,8.2
20,6/12/2012,74.98,75.25,74.34,75.2,11911200,74.11,73.79,0.3592,46.1538461538,1.67,0.7949,79.52,83.35,378750.0,16121.9,8.2
21,6/13/2012,74.61,75.13,74.47,74.69,9376200,74.41,74.12,0.1978,38.4615384615,1.61,0.8006,79.46,82.56,378750.0,16121.9,8.2
22,6/14/2012,74.79,76.0,74.7,75.74,13945400,74.56,74.35,1.8909,46.1538461538,1.64,0.7979,79.53,83.83,378750.0,16121.9,8.2
23,6/15/2012,76.12,76.2,75.42,76.09,19748800,74.92,74.77,2.7903,46.1538461538,1.6,0.7949,79.35,84.03,378750.0,16121.9,8.2
24,6/18/2012,75.96,76.42,75.77,75.98,10457200,75.13,74.9,2.9386,46.1538461538,1.59,0.7906,78.68,83.26,381250.0,16121.9,8.2
25,6/19/2012,76.25,76.25,75.66,75.74,11115400,75.37,75.17,2.3737,46.1538461538,1.64,0.7906,79.1,83.99,381250.0,16121.9,8.2
26,6/20/2012,75.69,75.74,74.84,75.56,14706800,75.44,75.22,1.1168,46.1538461538,1.65,0.7918,78.98,81.06,381250.0,16121.9,8.2
