id,Date,Open,High,Low,Close,Volume,SMA-8,WMA-12,cci-20,rsi-14,DGS10,USD/EUR,USD/JPY,VALUE,IC4WSA,GDP,UNRATE
0,5/14/2012,30.82,31.04,30.64,30.68,40528900,30.68,30.68,-0.0338,0.0,1.78,0.7739,79.87,94.75,373250.0,16121.9,8.2
1,5/15/2012,30.64,30.8,30.15,30.21,61822800,30.28,30.23,-0.224,0.0,1.76,0.777,79.93,93.97,373250.0,16121.9,8.2
2,5/16/2012,30.31,30.32,29.74,29.9,60083700,30.06,29.97,-0.578,0.0,1.76,0.7805,79.97,92.78,373250.0,16121.9,8.2
3,5/17/2012,29.99,30.21,29.71,29.72,48484000,29.95,29.86,-0.7212,0.0,1.7,0.7858,80.34,92.53,373250.0,16121.9,8.2
4,5/18/2012,29.79,29.81,29.17,29.27,56205300,29.76,29.63,-1.4881,0.0,1.71,0.7862,80.03,91.51,373250.0,16121.9,8.2
5,5/21/2012,29.1,29.79,29.06,29.75,38787900,29.9,29.98,-1.2739,20.0,1.75,0.7825,78.95,92.57,370250.0,16121.9,8.2
6,5/22/2012,29.69,29.88,29.5,29.76,39504900,29.9,30.02,-0.7647,33.3333333333,1.79,0.7826,79.26,91.44,370250.0,16121.9,8.2
7,5/23/2012,29.35,29.4,28.64,29.11,65171000,29.9,30.05,-2.7585,28.5714285714,1.73,0.7832,79.65,89.4,370250.0,16121.9,8.2
8,5/24/2012,29.16,29.3,28.76,29.07,52575000,29.67,29.8,-2.8143,25.0,1.77,0.7912,79.57,90.36,370250.0,16121.9,8.2
9,5/25/2012,29.2,29.36,29.01,29.06,29507200,29.51,29.63,-2.4114,22.2222222222,1.75,0.7956,79.47,90.64,370250.0,16121.9,8.2
10,5/29/2012,29.38,29.72,29.22,29.56,37758800,29.39,29.5,-0.8596,30.0,1.74,0.7956,79.45,90.75,373000.0,16121.9,8.2
11,5/30/2012,29.35,29.48,29.12,29.34,41585500,29.37,29.41,-1.7584,27.2727272727,1.63,0.7984,79.5,87.79,373000.0,16121.9,8.2
12,5/31/2012,29.3,29.42,28.94,29.19,39134000,29.38,29.44,-2.5114,25.0,1.59,0.8038,79.25,86.52,373000.0,16121.9,8.2
13,6/1/2012,28.76,28.96,28.44,28.45,56634300,29.3,29.33,-5.6554,23.0769230769,1.47,0.8076,78.7,83.17,373000.0,16121.9,8.2
14,6/4/2012,28.62,28.78,28.32,28.55,47926300,29.11,29.16,-6.0267,30.7692307692,1.53,0.8046,77.97,83.95,374500.0,16121.9,8.2
15,6/5/2012,28.51,28.75,28.39,28.51,45715400,29.03,29.14,-6.0267,30.7692307692,1.57,0.8038,78.18,84.31,374500.0,16121.9,8.2
16,6/6/2012,28.88,29.37,28.81,29.35,46860500,28.95,29.11,-1.6997,38.4615384615,1.66,0.8017,78.44,85.05,374500.0,16121.9,8.2
17,6/7/2012,29.64,29.7,29.17,29.23,37792800,28.99,29.1,-0.2793,38.4615384615,1.66,0.7999,78.98,84.78,374500.0,16121.9,8.2
18,6/8/2012,29.21,29.68,29.05,29.65,42551100,28.95,28.94,0.5028,38.4615384615,1.65,0.7952,79.45,84.08,374500.0,16121.9,8.2
19,6/11/2012,29.73,29.81,28.82,28.9,46361900,28.99,28.86,-1.8716,30.7692307692,1.6,0.7967,79.42,82.58,378750.0,16121.9,8.2
20,6/12/2012,29.1,29.3,28.84,29.29,35337900,28.95,28.8,-1.4658,38.4615384615,1.67,0.7949,79.52,83.35,378750.0,16121.9,8.2
21,6/13/2012,29.22,29.44,29.05,29.13,32984600,29.07,28.95,-0.3564,38.4615384615,1.61,0.8006,79.46,82.56,378750.0,16121.9,8.2
22,6/14/2012,29.33,29.46,28.88,29.34,39458900,29.15,29.1,0.1364,46.1538461538,1.64,0.7979,79.53,83.83,378750.0,16121.9,8.2
