id,Date,Open,High,Low,Close,Volume,SMA-8,WMA-12,cci-20,rsi-14,DGS10,USD/EUR,USD/JPY,VALUE,IC4WSA,GDP,UNRATE
0,5/14/2012,107.65,108.46,106.94,107.47,2818200,107.47,107.47,0.0094,0.0,1.78,0.7739,79.87,94.75,373250.0,16121.9,8.2
1,5/15/2012,107.31,109.01,107.01,107.22,3563800,107.26,107.23,0.0187,0.0,1.76,0.777,79.93,93.97,373250.0,16121.9,8.2
2,5/16/2012,107.74,108.92,106.22,107.0,4982600,107.1,107.04,-0.0852,0.0,1.76,0.7805,79.97,92.78,373250.0,16121.9,8.2
3,5/17/2012,106.78,107.0,104.27,104.34,4722200,105.58,104.98,-1.1608,0.0,1.7,0.7858,80.34,92.53,373250.0,16121.9,8.2
4,5/18/2012,105.4,107.78,105.08,105.44,7922400,106.05,105.99,-0.5669,25.0,1.71,0.7862,80.03,91.51,373250.0,16121.9,8.2
5,5/21/2012,105.31,107.36,105.31,107.23,4517200,106.56,106.98,-0.1369,40.0,1.75,0.7825,78.95,92.57,370250.0,16121.9,8.2
6,5/22/2012,107.24,109.15,107.2,108.45,5107000,106.74,107.11,1.3043,50.0,1.79,0.7826,79.26,91.44,370250.0,16121.9,8.2
7,5/23/2012,107.77,109.0,106.18,107.52,4256600,106.74,106.69,0.5885,42.8571428571,1.73,0.7832,79.65,89.4,370250.0,16121.9,8.2
8,5/24/2012,107.67,108.64,106.78,107.48,4314800,106.74,106.5,0.692,37.5,1.77,0.7912,79.57,90.36,370250.0,16121.9,8.2
9,5/25/2012,107.92,109.19,107.62,108.79,3343800,106.78,106.39,1.8486,44.4444444444,1.75,0.7956,79.47,90.64,370250.0,16121.9,8.2
10,5/29/2012,109.51,110.92,109.14,110.92,4367400,107.04,106.4,4.3238,50.0,1.74,0.7956,79.45,90.75,373000.0,16121.9,8.2
11,5/30/2012,109.58,110.33,108.23,108.61,5178600,107.98,107.31,2.4118,45.4545454545,1.63,0.7984,79.5,87.79,373000.0,16121.9,8.2
12,5/31/2012,108.5,108.85,106.66,108.18,5398400,108.43,108.06,0.3826,41.6666666667,1.59,0.8038,79.25,86.52,373000.0,16121.9,8.2
13,6/1/2012,106.29,106.55,104.18,104.6,4688200,108.56,108.39,-5.1455,38.4615384615,1.47,0.8076,78.7,83.17,373000.0,16121.9,8.2
14,6/4/2012,104.55,105.12,103.14,104.7,5101000,108.01,108.28,-6.8948,46.1538461538,1.53,0.8046,77.97,83.95,374500.0,16121.9,8.2
15,6/5/2012,104.3,105.76,104.0,105.51,4591600,107.61,108.31,-5.0694,53.8461538462,1.57,0.8038,78.18,84.31,374500.0,16121.9,8.2
16,6/6/2012,106.09,107.1,105.73,107.07,3897000,107.33,108.27,-1.259,61.5384615385,1.66,0.8017,78.44,85.05,374500.0,16121.9,8.2
17,6/7/2012,107.94,108.39,106.25,107.36,3539800,107.08,107.84,0.5268,61.5384615385,1.66,0.7999,78.98,84.78,374500.0,16121.9,8.2
18,6/8/2012,107.38,108.77,106.31,108.64,3627200,106.58,106.76,2.0852,61.5384615385,1.65,0.7952,79.45,84.08,374500.0,16121.9,8.2
19,6/11/2012,109.12,109.91,107.4,107.46,3128800,106.58,106.25,3.0895,53.8461538462,1.6,0.7967,79.42,82.58,378750.0,16121.9,8.2
20,6/12/2012,107.59,108.66,106.74,107.6,5079800,106.48,105.82,1.3087,61.5384615385,1.67,0.7949,79.52,83.35,378750.0,16121.9,8.2
21,6/13/2012,107.21,107.53,101.28,102.22,11385200,106.91,106.4,-10.1259,61.5384615385,1.61,0.8006,79.46,82.56,378750.0,16121.9,8.2
22,6/14/2012,103.46,103.46,99.36,100.02,12026200,106.55,106.86,-17.5272,53.8461538462,1.64,0.7979,79.53,83.83,378750.0,16121.9,8.2
23,6/15/2012,100.25,102.0,99.56,101.75,8415400,105.77,106.93,-16.5967,53.8461538462,1.6,0.7949,79.35,84.03,378750.0,16121.9,8.2
24,6/18/2012,101.53,101.73,100.13,101.4,6328400,105.01,106.41,-16.047,53.8461538462,1.59,0.7906,78.68,83.26,381250.0,16121.9,8.2
25,6/19/2012,101.44,102.65,101.33,101.54,4319200,104.16,105.61,-13.1343,61.5384615385,1.64,0.7906,79.1,83.99,381250.0,16121.9,8.2
26,6/20/2012,102.56,102.72,100.63,101.2,6419800,103.14,104.24,-13.2872,61.5384615385,1.65,0.7918,78.98,81.06,381250.0,16121.9,8.2
27,6/21/2012,101.26,102.46,98.53,98.66,8027200,102.25,102.93,-17.5558,53.8461538462,1.63,0.7881,79.11,77.91,381250.0,16121.9,8.2
28,6/22/2012,98.91,99.52,98.28,99.4,7678600,100.97,101.27,-19.1724,53.8461538462,1.69,0.7909,79.84,79.33,381250.0,16121.9,8.2
29,6/25/2012,98.38,98.74,96.7,97.46,5936600,100.57,100.86,-22.6377,46.1538461538,1.63,0.7953,80.38,78.76,381250.0,16121.9,8.2
30,6/26/2012,97.76,98.86,97.3,98.45,4790000,100.2,100.91,-19.2716,46.1538461538,1.66,0.7992,79.99,79.34,381250.0,16121.9,8.2
31,6/27/2012,98.93,99.61,97.5,98.11,5611200,99.73,100.4,-17.1891,38.4615384615,1.65,0.8001,79.52,80.27,381250.0,16121.9,8.2
32,6/28/2012,97.54,98.48,95.84,96.89,11958400,99.26,99.87,-20.5803,38.4615384615,1.6,0.801,79.59,77.72,381250.0,16121.9,8.2
33,6/29/2012,87.84,90.5,85.1,87.78,43169800,98.6,99.13,-52.8542,30.7692307692,1.67,0.8026,79.44,85.04,381250.0,16121.9,8.2
