id,Date,Open,High,Low,Close,Volume,SMA-8,WMA-12,cci-20,rsi-14,DGS10,USD/EUR,USD/JPY,VALUE,IC4WSA,GDP,UNRATE
0,5/14/2012,26.73,27.31,26.66,26.96,22485200,26.96,26.96,-0.023,0.0,1.78,0.7739,79.87,94.75,373250.0,16121.9,8.2
1,5/15/2012,27.02,27.53,26.94,27.06,26392900,27.05,27.06,0.047,100.0,1.76,0.777,79.93,93.97,373250.0,16121.9,8.2
2,5/16/2012,27.16,27.41,26.68,26.72,29672800,26.8,26.75,-0.0919,50.0,1.76,0.7805,79.97,92.78,373250.0,16121.9,8.2
3,5/17/2012,26.7,26.72,26.25,26.25,29440600,26.53,26.4,-0.6811,33.3333333333,1.7,0.7858,80.34,92.53,373250.0,16121.9,8.2
4,5/18/2012,26.29,26.29,25.33,25.61,68182500,26.26,26.06,-1.4822,25.0,1.71,0.7862,80.03,91.51,373250.0,16121.9,8.2
5,5/21/2012,25.54,26.46,25.53,26.26,30712700,26.45,26.52,-0.9407,40.0,1.75,0.7825,78.95,92.57,370250.0,16121.9,8.2
6,5/22/2012,26.33,26.49,26.07,26.36,22122800,26.46,26.6,-0.4772,50.0,1.79,0.7826,79.26,91.44,370250.0,16121.9,8.2
7,5/23/2012,26.12,26.85,26.04,26.68,33179600,26.46,26.62,0.022,57.1428571429,1.73,0.7832,79.65,89.4,370250.0,16121.9,8.2
8,5/24/2012,26.62,26.65,25.9,26.12,34232000,26.42,26.49,-0.8219,50.0,1.77,0.7912,79.57,90.36,370250.0,16121.9,8.2
9,5/25/2012,26.18,26.33,26.04,26.14,18642900,26.29,26.29,-0.9704,55.5555555556,1.75,0.7956,79.47,90.64,370250.0,16121.9,8.2
10,5/29/2012,26.41,26.78,26.16,26.46,24139900,26.2,26.16,0.0437,60.0,1.74,0.7956,79.45,90.75,373000.0,16121.9,8.2
11,5/30/2012,26.19,26.34,25.98,26.17,21538300,26.23,26.16,-1.0793,54.5454545455,1.63,0.7984,79.5,87.79,373000.0,16121.9,8.2
12,5/31/2012,26.22,26.72,26.17,26.47,32192300,26.31,26.33,0.0873,58.3333333333,1.59,0.8038,79.25,86.52,373000.0,16121.9,8.2
13,6/1/2012,25.98,26.28,25.9,26.0,30739700,26.34,26.36,-1.6821,53.8461538462,1.47,0.8076,78.7,83.17,373000.0,16121.9,8.2
14,6/4/2012,26.04,26.34,25.84,26.2,28945200,26.29,26.34,-1.3168,53.8461538462,1.53,0.8046,77.97,83.95,374500.0,16121.9,8.2
15,6/5/2012,26.07,26.94,26.07,26.71,28412000,26.22,26.22,0.9373,61.5384615385,1.57,0.8038,78.18,84.31,374500.0,16121.9,8.2
16,6/6/2012,26.99,27.57,26.88,27.53,27639000,26.31,26.27,5.1394,69.2307692308,1.66,0.8017,78.44,85.05,374500.0,16121.9,8.2
17,6/7/2012,27.75,27.76,27.18,27.18,32896100,26.51,26.36,5.4482,69.2307692308,1.66,0.7999,78.98,84.78,374500.0,16121.9,8.2
18,6/8/2012,27.04,27.27,26.8,27.16,22343200,26.61,26.4,3.5478,61.5384615385,1.65,0.7952,79.45,84.08,374500.0,16121.9,8.2
19,6/11/2012,27.38,27.42,26.77,26.81,20470800,26.75,26.54,3.0409,53.8461538462,1.6,0.7967,79.42,82.58,378750.0,16121.9,8.2
20,6/12/2012,27.0,27.15,26.73,27.03,26186900,26.8,26.63,2.8426,53.8461538462,1.67,0.7949,79.52,83.35,378750.0,16121.9,8.2
21,6/13/2012,26.88,27.38,26.79,27.02,19638800,26.95,26.86,3.5222,53.8461538462,1.61,0.8006,79.46,82.56,378750.0,16121.9,8.2
22,6/14/2012,27.09,27.35,26.51,26.91,34311700,27.06,27.08,2.5976,46.1538461538,1.64,0.7979,79.53,83.83,378750.0,16121.9,8.2
23,6/15/2012,27.11,27.76,26.99,27.7,40136400,27.09,27.17,6.116,46.1538461538,1.6,0.7949,79.35,84.03,378750.0,16121.9,8.2
24,6/18/2012,27.43,27.43,26.69,27.12,38322000,27.12,27.07,2.874,46.1538461538,1.59,0.7906,78.68,83.26,381250.0,16121.9,8.2
25,6/19/2012,28.39,28.75,27.53,27.96,81048700,27.11,27.05,9.2699,46.1538461538,1.64,0.7906,79.1,83.99,381250.0,16121.9,8.2
26,6/20/2012,28.04,28.58,27.94,28.49,29281700,27.22,27.07,10.4273,53.8461538462,1.65,0.7918,78.98,81.06,381250.0,16121.9,8.2
27,6/21/2012,28.49,28.64,27.75,27.81,32721900,27.46,27.23,8.0583,46.1538461538,1.63,0.7881,79.11,77.91,381250.0,16121.9,8.2
28,6/22/2012,27.91,28.14,27.79,28.0,22163000,27.57,27.37,6.8272,46.1538461538,1.69,0.7909,79.84,79.33,381250.0,16121.9,8.2
29,6/25/2012,27.54,27.75,27.24,27.62,24918800,27.71,27.54,3.1897,38.4615384615,1.63,0.7953,80.38,78.76,381250.0,16121.9,8.2
30,6/26/2012,27.63,27.95,27.52,27.83,20614200,27.81,27.77,4.4048,46.1538461538,1.66,0.7992,79.99,79.34,381250.0,16121.9,8.2
31,6/27/2012,27.76,28.46,27.76,28.17,19388200,27.83,27.8,6.4507,53.8461538462,1.65,0.8001,79.52,80.27,381250.0,16121.9,8.2
32,6/28/2012,28.03,28.26,27.73,28.17,27175800,27.98,28.01,5.3202,58.3333333333,1.6,0.801,79.59,77.72,381250.0,16121.9,8.2
33,6/29/2012,28.81,29.71,28.79,29.7,35545300,28.01,28.03,14.3407,58.3333333333,1.67,0.8026,79.44,85.04,381250.0,16121.9,8.2
34,7/2/2012,29.53,29.8,29.15,29.8,24445300,28.19,27.95,14.7089,66.6666666667,1.61,0.7893,79.75,83.72,380000.0,16227.9,8.2
35,7/3/2012,29.63,29.98,29.61,29.97,14468000,28.47,28.12,15.8004,75.0,1.65,0.7925,79.65,87.74,380000.0,16227.9,8.2
36,7/5/2012,29.83,29.93,29.71,29.72,19244600,28.75,28.3,14.536,66.6666666667,1.62,0.7954,79.8,87.11,380000.0,16227.9,8.2
37,7/6/2012,29.37,29.48,28.94,29.18,25259400,29.05,28.66,9.2092,66.6666666667,1.57,0.8018,79.85,84.37,380000.0,16227.9,8.2
38,7/9/2012,29.23,29.36,29.02,29.1,21873200,29.24,29.02,8.1525,58.3333333333,1.53,0.8139,79.64,85.93,374500.0,16227.9,8.2
39,7/10/2012,29.36,29.6,28.85,29.05,23424100,29.38,29.32,7.4386,50.0,1.53,0.8134,79.61,83.92,374500.0,16227.9,8.2
40,7/11/2012,28.98,29.32,28.91,29.23,27247300,29.5,29.65,6.4723,58.3333333333,1.54,0.8138,79.45,85.88,374500.0,16227.9,8.2
41,7/12/2012,29.45,29.47,28.61,28.82,23562000,29.44,29.58,4.1371,50.0,1.5,0.8158,79.41,86.02,374500.0,16227.9,8.2
42,7/13/2012,28.87,29.66,28.75,29.58,22026800,29.3,29.46,6.2904,58.3333333333,1.52,0.8187,79.41,87.15,374500.0,16227.9,8.2
43,7/16/2012,29.43,29.75,29.28,29.52,16819600,29.24,29.28,7.1706,50.0,1.5,0.8161,79.17,88.41,375500.0,16227.9,8.2
44,7/17/2012,29.71,30.05,29.37,29.92,23897100,29.21,29.15,8.4242,50.0,1.53,0.817,78.99,89.07,375500.0,16227.9,8.2
45,7/18/2012,29.84,30.76,29.82,30.5,24988700,29.32,29.18,12.7401,53.8461538462,1.52,0.8144,78.98,89.88,375500.0,16227.9,8.2
46,7/19/2012,30.6,31.11,30.56,30.87,26180000,29.52,29.29,16.2128,53.8461538462,1.54,0.8148,78.97,92.78,375500.0,16227.9,8.2
47,7/20/2012,30.66,30.83,30.1,30.12,25013000,29.78,29.47,10.7777,46.1538461538,1.49,0.8143,78.62,91.56,375500.0,16227.9,8.2
48,7/23/2012,29.53,29.8,29.11,29.65,23403200,29.9,29.64,2.3536,38.4615384615,1.47,0.8226,78.47,87.77,371750.0,16227.9,8.2
49,7/24/2012,29.59,29.67,29.07,29.32,23707500,30.02,29.94,-0.0612,38.4615384615,1.44,0.8254,78.27,88.28,371750.0,16227.9,8.2
50,7/25/2012,29.3,29.56,29.12,29.26,22389100,29.99,30.04,-1.2699,38.4615384615,1.43,0.8264,78.23,88.8,371750.0,16227.9,8.2
51,7/26/2012,29.79,30.36,29.7,30.0,26746600,29.95,30.15,4.7789,46.1538461538,1.45,0.8259,78.18,89.4,371750.0,16227.9,8.2
52,7/27/2012,30.3,30.84,30.04,30.77,23852100,29.96,30.16,8.9338,53.8461538462,1.58,0.8195,78.16,90.13,371750.0,16227.9,8.2
53,7/30/2012,30.69,31.0,30.4,30.58,20919700,30.0,30.03,9.4901,46.1538461538,1.53,0.8115,78.42,89.8,371250.0,16227.9,8.2
