id,Date,Open,High,Low,Close,Volume,SMA-8,WMA-12,cci-20,rsi-14,DGS10,USD/EUR,USD/JPY,VALUE,IC4WSA,GDP,UNRATE
0,5/14/2012,54.51,54.61,53.64,53.67,11794600,53.67,53.67,0.0178,0.0,1.78,0.7739,79.87,94.75,373250.0,16121.9,8.2
1,5/15/2012,53.8,54.1,53.08,53.34,19779800,53.39,53.35,-0.1204,0.0,1.76,0.777,79.93,93.97,373250.0,16121.9,8.2
2,5/16/2012,53.59,54.05,52.84,53.02,15818000,53.16,53.08,-0.2375,0.0,1.76,0.7805,79.97,92.78,373250.0,16121.9,8.2
3,5/17/2012,53.19,53.2,51.63,51.67,17960000,52.39,52.05,-1.0588,0.0,1.7,0.7858,80.34,92.53,373250.0,16121.9,8.2
4,5/18/2012,52.02,53.17,51.43,51.53,22738200,52.33,52.14,-1.1612,0.0,1.71,0.7862,80.03,91.51,373250.0,16121.9,8.2
5,5/21/2012,51.71,53.74,51.53,53.7,20695000,52.95,53.35,0.0,20.0,1.75,0.7825,78.95,92.57,370250.0,16121.9,8.2
6,5/22/2012,53.81,54.4,53.07,53.37,15757000,52.9,53.08,0.989,16.6666666667,1.79,0.7826,79.26,91.44,370250.0,16121.9,8.2
7,5/23/2012,53.96,55.48,53.9,55.29,18498400,52.9,52.96,3.6001,28.5714285714,1.73,0.7832,79.65,89.4,370250.0,16121.9,8.2
8,5/24/2012,55.82,56.39,53.93,54.76,20236800,53.13,52.83,3.9866,25.0,1.77,0.7912,79.57,90.36,370250.0,16121.9,8.2
9,5/25/2012,54.87,55.06,54.29,54.56,10169400,53.33,52.82,2.8966,22.2222222222,1.75,0.7956,79.47,90.64,370250.0,16121.9,8.2
10,5/29/2012,54.99,55.85,54.8,55.58,12982000,53.55,52.96,5.2302,30.0,1.74,0.7956,79.45,90.75,373000.0,16121.9,8.2
11,5/30/2012,54.86,55.12,54.41,54.73,10412600,54.11,53.57,3.0628,27.2727272727,1.63,0.7984,79.5,87.79,373000.0,16121.9,8.2
12,5/31/2012,54.83,55.08,53.91,54.89,15055200,54.57,54.33,2.6352,33.3333333333,1.59,0.8038,79.25,86.52,373000.0,16121.9,8.2
13,6/1/2012,53.11,54.06,52.04,52.15,17456400,54.74,54.59,-4.1338,30.7692307692,1.47,0.8076,78.7,83.17,373000.0,16121.9,8.2
14,6/4/2012,52.0,53.97,51.49,53.9,24502800,54.57,54.89,-2.76,38.4615384615,1.53,0.8046,77.97,83.95,374500.0,16121.9,8.2
15,6/5/2012,52.35,52.68,51.63,52.41,22337600,54.37,54.66,-6.2604,38.4615384615,1.57,0.8038,78.18,84.31,374500.0,16121.9,8.2
16,6/6/2012,53.09,53.6,52.88,53.47,13980400,54.03,54.47,-1.6292,46.1538461538,1.66,0.8017,78.44,85.05,374500.0,16121.9,8.2
17,6/7/2012,54.07,54.38,53.28,53.44,14475600,53.88,54.3,0.1565,46.1538461538,1.66,0.7999,78.98,84.78,374500.0,16121.9,8.2
18,6/8/2012,52.84,53.76,52.39,53.59,12509800,53.57,53.8,-2.1004,46.1538461538,1.65,0.7952,79.45,84.08,374500.0,16121.9,8.2
19,6/11/2012,54.15,54.17,52.75,52.83,9770000,53.41,53.47,-2.083,46.1538461538,1.6,0.7967,79.42,82.58,378750.0,16121.9,8.2
20,6/12/2012,53.0,53.43,51.87,53.04,21075400,53.11,53.03,-4.3088,46.1538461538,1.67,0.7949,79.52,83.35,378750.0,16121.9,8.2
21,6/13/2012,52.84,53.36,51.03,51.27,21445600,53.24,53.3,-8.7117,46.1538461538,1.61,0.8006,79.46,82.56,378750.0,16121.9,8.2
22,6/14/2012,51.43,52.48,51.1,52.33,16009600,52.86,53.04,-7.8754,53.8461538462,1.64,0.7979,79.53,83.83,378750.0,16121.9,8.2
23,6/15/2012,51.77,52.59,51.55,52.54,20108800,52.85,53.15,-6.4977,53.8461538462,1.6,0.7949,79.35,84.03,378750.0,16121.9,8.2
24,6/18/2012,52.34,54.29,52.25,54.18,15911000,52.72,52.96,0.3775,61.5384615385,1.59,0.7906,78.68,83.26,381250.0,16121.9,8.2
25,6/19/2012,54.71,55.55,54.53,55.12,15032400,52.83,52.81,7.928,61.5384615385,1.64,0.7906,79.1,83.99,381250.0,16121.9,8.2
26,6/20/2012,55.3,55.91,55.0,55.64,14967200,53.04,52.67,9.9424,69.2307692308,1.65,0.7918,78.98,81.06,381250.0,16121.9,8.2
27,6/21/2012,55.82,55.97,54.0,54.07,12379800,53.45,52.83,5.4117,61.5384615385,1.63,0.7881,79.11,77.91,381250.0,16121.9,8.2
28,6/22/2012,54.27,54.73,54.04,54.64,9148800,53.59,52.96,4.4161,69.2307692308,1.69,0.7909,79.84,79.33,381250.0,16121.9,8.2
29,6/25/2012,54.16,54.24,53.01,53.29,10005800,54.07,53.67,-0.5018,61.5384615385,1.63,0.7953,80.38,78.76,381250.0,16121.9,8.2
30,6/26/2012,53.27,54.1,53.0,53.95,9467000,54.21,54.14,0.8929,69.2307692308,1.66,0.7992,79.99,79.34,381250.0,16121.9,8.2
31,6/27/2012,53.88,54.1,52.36,52.75,14015800,54.41,54.6,-1.9484,61.5384615385,1.65,0.8001,79.52,80.27,381250.0,16121.9,8.2
32,6/28/2012,52.53,52.59,51.25,52.09,15650200,54.21,54.61,-7.1006,61.5384615385,1.6,0.801,79.59,77.72,381250.0,16121.9,8.2
33,6/29/2012,53.19,53.41,52.83,53.32,16983200,53.78,54.28,-0.7282,61.5384615385,1.67,0.8026,79.44,85.04,381250.0,16121.9,8.2
34,7/2/2012,53.44,53.44,52.15,52.79,10270800,53.44,53.73,-2.7266,61.5384615385,1.61,0.7893,79.75,83.72,380000.0,16227.9,8.2
35,7/3/2012,52.47,52.6,51.72,51.94,9112800,53.26,53.52,-6.4841,53.8461538462,1.65,0.7925,79.65,87.74,380000.0,16227.9,8.2
36,7/5/2012,52.04,52.8,51.97,52.4,8752200,52.88,53.08,-4.6128,53.8461538462,1.62,0.7954,79.8,87.11,380000.0,16227.9,8.2
37,7/6/2012,52.15,52.2,51.3,51.97,12096200,52.75,52.95,-7.0927,46.1538461538,1.57,0.8018,79.85,84.37,380000.0,16227.9,8.2
38,7/9/2012,51.77,52.4,51.72,52.39,9328600,52.47,52.58,-4.9116,46.1538461538,1.53,0.8139,79.64,85.93,374500.0,16227.9,8.2
39,7/10/2012,52.75,53.01,52.05,52.34,10558200,52.41,52.49,-3.1623,38.4615384615,1.53,0.8134,79.61,83.92,374500.0,16227.9,8.2
40,7/11/2012,52.18,52.38,51.7,52.16,8700000,52.45,52.58,-4.9856,38.4615384615,1.54,0.8138,79.45,85.88,374500.0,16227.9,8.2
41,7/12/2012,51.6,52.95,51.44,52.68,10980800,52.28,52.32,-3.6589,38.4615384615,1.5,0.8158,79.41,86.02,374500.0,16227.9,8.2
42,7/13/2012,52.43,53.69,52.16,53.61,11089600,52.27,52.19,0.2165,46.1538461538,1.52,0.8187,79.41,87.15,374500.0,16227.9,8.2
43,7/16/2012,53.46,53.86,52.76,52.9,9318800,52.51,52.34,0.0669,38.4615384615,1.5,0.8161,79.17,88.41,375500.0,16227.9,8.2
44,7/17/2012,53.29,53.92,52.94,53.73,8470000,52.58,52.38,1.9532,46.1538461538,1.53,0.817,78.99,89.07,375500.0,16227.9,8.2
45,7/18/2012,52.83,53.59,52.27,53.3,11023400,52.83,52.59,-0.0332,46.1538461538,1.52,0.8144,78.98,89.88,375500.0,16227.9,8.2
46,7/19/2012,53.33,54.28,52.9,54.2,10426200,52.96,52.74,4.2565,46.1538461538,1.54,0.8148,78.97,92.78,375500.0,16227.9,8.2
47,7/20/2012,53.32,53.39,51.54,51.96,23471400,53.23,52.96,-2.8654,46.1538461538,1.49,0.8143,78.62,91.56,375500.0,16227.9,8.2
48,7/23/2012,51.13,51.17,49.6,50.6,21166200,53.2,53.22,-11.2721,46.1538461538,1.47,0.8226,78.47,87.77,371750.0,16227.9,8.2
49,7/24/2012,50.53,51.16,50.08,50.48,12079200,52.9,53.27,-9.8093,38.4615384615,1.44,0.8254,78.27,88.28,371750.0,16227.9,8.2
50,7/25/2012,50.5,50.7,49.86,50.41,13157800,52.45,52.98,-10.0709,38.4615384615,1.43,0.8264,78.23,88.8,371750.0,16227.9,8.2
51,7/26/2012,51.71,52.89,51.38,52.4,28380400,52.1,52.78,-0.3612,38.4615384615,1.45,0.8259,78.18,89.4,371750.0,16227.9,8.2
52,7/27/2012,46.9,48.2,46.12,47.47,56945200,51.91,52.33,-23.7908,38.4615384615,1.58,0.8195,78.16,90.13,371750.0,16227.9,8.2
53,7/30/2012,47.45,47.73,46.69,46.88,17497200,51.07,51.77,-22.6039,38.4615384615,1.53,0.8115,78.42,89.8,371250.0,16227.9,8.2
54,7/31/2012,46.97,47.0,45.09,45.28,30425400,50.03,50.73,-26.7086,30.7692307692,1.51,0.8147,78.3,88.08,371250.0,16227.9,8.2
55,8/1/2012,45.47,45.51,43.7,43.78,33427000,49.07,50.01,-31.1192,23.0769230769,1.56,0.8141,78.18,88.99,371250.0,16227.9,8.0
56,8/2/2012,43.6,44.18,43.04,43.16,30760200,48.1,49.38,-32.2113,23.0769230769,1.51,0.8133,78.16,87.22,371250.0,16227.9,8.0
57,8/3/2012,43.83,44.2,43.4,43.91,24472800,47.05,48.53,-27.8478,23.0769230769,1.6,0.8178,78.33,91.4,371250.0,16227.9,8.0
58,8/6/2012,44.19,44.21,43.46,43.48,19911200,46.13,47.45,-25.8553,23.0769230769,1.59,0.8072,78.45,92.3,374000.0,16227.9,8.0
