id,Date,Open,High,Low,Close,Volume,SMA-8,WMA-12,cci-20,rsi-14,DGS10,USD/EUR,USD/JPY,VALUE,IC4WSA,GDP,UNRATE
0,5/14/2012,54.91,55.54,54.83,54.92,4174600,54.92,54.92,-0.0193,0.0,1.78,0.7739,79.87,94.75,373250.0,16121.9,8.2
1,5/15/2012,54.85,55.49,54.85,55.08,4383900,55.06,55.07,0.0,100.0,1.76,0.777,79.93,93.97,373250.0,16121.9,8.2
2,5/16/2012,55.86,56.45,55.13,55.32,9027300,55.23,55.28,0.323,100.0,1.76,0.7805,79.97,92.78,373250.0,16121.9,8.2
3,5/17/2012,55.27,55.51,54.68,54.81,6045500,54.94,54.86,-0.2889,66.6666666667,1.7,0.7858,80.34,92.53,373250.0,16121.9,8.2
4,5/18/2012,55.07,56.0,54.91,55.46,7144300,55.22,55.31,0.2783,75.0,1.71,0.7862,80.03,91.51,373250.0,16121.9,8.2
5,5/21/2012,55.43,55.9,54.93,55.83,4779400,55.32,55.42,0.4401,80.0,1.75,0.7825,78.95,92.57,370250.0,16121.9,8.2
6,5/22/2012,55.89,56.9,55.81,56.67,5777400,55.44,55.5,2.2882,83.3333333333,1.79,0.7826,79.26,91.44,370250.0,16121.9,8.2
7,5/23/2012,56.24,56.89,55.94,56.78,3956300,55.44,55.2,2.4694,85.7142857143,1.73,0.7832,79.65,89.4,370250.0,16121.9,8.2
8,5/24/2012,56.86,57.39,56.65,57.25,4460600,55.71,55.39,4.1288,87.5,1.77,0.7912,79.57,90.36,370250.0,16121.9,8.2
9,5/25/2012,57.43,57.71,57.17,57.62,4293900,56.02,55.63,5.517,88.8888888889,1.75,0.7956,79.47,90.64,370250.0,16121.9,8.2
10,5/29/2012,57.9,58.17,57.39,58.13,4792600,56.35,55.88,7.0425,90.0,1.74,0.7956,79.45,90.75,373000.0,16121.9,8.2
11,5/30/2012,57.8,57.84,57.0,57.79,7232100,56.82,56.39,5.5619,81.8181818182,1.63,0.7984,79.5,87.79,373000.0,16121.9,8.2
12,5/31/2012,58.2,58.46,57.84,57.91,6856500,57.15,56.81,7.9294,83.3333333333,1.59,0.8038,79.25,86.52,373000.0,16121.9,8.2
13,6/1/2012,57.22,57.47,56.85,57.2,4809900,57.45,57.21,3.6372,76.9230769231,1.47,0.8076,78.7,83.17,373000.0,16121.9,8.2
14,6/4/2012,57.26,57.8,56.99,57.57,6150600,57.53,57.43,5.0164,76.9230769231,1.53,0.8046,77.97,83.95,374500.0,16121.9,8.2
15,6/5/2012,56.93,57.51,56.93,57.32,3994100,57.64,57.64,3.984,69.2307692308,1.57,0.8038,78.18,84.31,374500.0,16121.9,8.2
16,6/6/2012,57.61,57.8,57.26,57.5,6650600,57.65,57.74,5.4663,76.9230769231,1.66,0.8017,78.44,85.05,374500.0,16121.9,8.2
17,6/7/2012,58.0,58.0,57.27,57.32,5565600,57.63,57.74,5.5338,69.2307692308,1.66,0.7999,78.98,84.78,374500.0,16121.9,8.2
18,6/8/2012,57.24,59.25,57.24,59.2,6426500,57.52,57.59,12.2317,69.2307692308,1.65,0.7952,79.45,84.08,374500.0,16121.9,8.2
19,6/11/2012,59.36,59.4,58.6,58.7,5272900,57.72,57.57,14.5153,61.5384615385,1.6,0.7967,79.42,82.58,378750.0,16121.9,8.2
20,6/12/2012,58.7,58.9,57.92,58.16,5557700,57.83,57.55,9.4624,53.8461538462,1.67,0.7949,79.52,83.35,378750.0,16121.9,8.2
21,6/13/2012,58.21,58.65,57.81,58.05,4732900,57.97,57.74,7.3301,46.1538461538,1.61,0.8006,79.46,82.56,378750.0,16121.9,8.2
22,6/14/2012,58.22,58.92,58.14,58.55,4283300,58.04,57.86,9.1236,46.1538461538,1.64,0.7979,79.53,83.83,378750.0,16121.9,8.2
23,6/15/2012,58.92,59.0,58.23,58.5,6014700,58.21,58.08,8.219,38.4615384615,1.6,0.7949,79.35,84.03,378750.0,16121.9,8.2
24,6/18/2012,58.3,58.8,57.71,58.47,3834200,58.35,58.3,5.3212,38.4615384615,1.59,0.7906,78.68,83.26,381250.0,16121.9,8.2
25,6/19/2012,58.59,58.73,58.14,58.7,4519300,58.52,58.6,5.764,38.4615384615,1.64,0.7906,79.1,83.99,381250.0,16121.9,8.2
26,6/20/2012,58.73,58.87,58.09,58.5,3988400,58.45,58.41,4.7153,38.4615384615,1.65,0.7918,78.98,81.06,381250.0,16121.9,8.2
27,6/21/2012,58.62,58.68,57.33,57.4,5399200,58.42,58.34,-1.2892,30.7692307692,1.63,0.7881,79.11,77.91,381250.0,16121.9,8.2
28,6/22/2012,57.6,57.83,57.48,57.56,5363300,58.31,58.38,-3.0049,38.4615384615,1.69,0.7909,79.84,79.33,381250.0,16121.9,8.2
29,6/25/2012,57.24,57.5,56.88,57.23,3674100,58.24,58.42,-6.2688,30.7692307692,1.63,0.7953,80.38,78.76,381250.0,16121.9,8.2
30,6/26/2012,57.26,57.87,57.24,57.63,3493200,58.05,58.3,-3.0976,38.4615384615,1.66,0.7992,79.99,79.34,381250.0,16121.9,8.2
31,6/27/2012,57.46,57.69,57.15,57.56,3924200,57.93,58.16,-3.9753,30.7692307692,1.65,0.8001,79.52,80.27,381250.0,16121.9,8.2
32,6/28/2012,57.32,57.56,56.92,57.46,5162600,57.8,57.99,-4.9133,30.7692307692,1.6,0.801,79.59,77.72,381250.0,16121.9,8.2
33,6/29/2012,57.86,58.25,56.93,58.19,7682100,57.62,57.72,-1.3134,38.4615384615,1.67,0.8026,79.44,85.04,381250.0,16121.9,8.2
34,7/2/2012,58.34,58.47,57.78,58.27,4113400,57.58,57.49,1.5728,46.1538461538,1.61,0.7893,79.75,83.72,380000.0,16227.9,8.2
35,7/3/2012,58.02,58.03,57.33,57.78,3649200,57.7,57.56,-2.3859,38.4615384615,1.65,0.7925,79.65,87.74,380000.0,16227.9,8.2
36,7/5/2012,57.39,58.31,56.7,57.15,6482300,57.73,57.6,-5.0111,38.4615384615,1.62,0.7954,79.8,87.11,380000.0,16227.9,8.2
37,7/6/2012,56.8,58.2,56.71,58.07,5031700,57.72,57.73,-2.8009,46.1538461538,1.57,0.8018,79.85,84.37,380000.0,16227.9,8.2
38,7/9/2012,58.26,58.29,57.55,58.04,4662200,57.78,57.77,-0.1549,38.4615384615,1.53,0.8139,79.64,85.93,374500.0,16227.9,8.2
39,7/10/2012,58.28,59.49,58.03,59.23,8310600,57.85,57.84,7.5967,46.1538461538,1.53,0.8134,79.61,83.92,374500.0,16227.9,8.2
40,7/11/2012,59.36,59.96,59.17,59.79,9239500,58.1,58.0,12.9799,53.8461538462,1.54,0.8138,79.45,85.88,374500.0,16227.9,8.2
41,7/12/2012,59.68,60.23,59.27,59.88,6516700,58.33,58.03,13.6733,53.8461538462,1.5,0.8158,79.41,86.02,374500.0,16227.9,8.2
42,7/13/2012,59.82,61.98,59.69,61.95,10553200,58.56,58.11,24.3984,61.5384615385,1.52,0.8187,79.41,87.15,374500.0,16227.9,8.2
43,7/16/2012,61.73,62.18,61.45,61.5,6414400,59.16,58.45,27.7089,53.8461538462,1.5,0.8161,79.17,88.41,375500.0,16227.9,8.2
44,7/17/2012,60.68,61.4,60.66,61.26,7796100,59.78,59.11,21.9265,53.8461538462,1.53,0.817,78.99,89.07,375500.0,16227.9,8.2
45,7/18/2012,61.1,61.56,60.87,61.39,4168400,60.24,59.65,22.5852,61.5384615385,1.52,0.8144,78.98,89.88,375500.0,16227.9,8.2
46,7/19/2012,61.53,61.57,60.66,61.25,3446800,60.71,60.32,20.7892,53.8461538462,1.54,0.8148,78.97,92.78,375500.0,16227.9,8.2
47,7/20/2012,61.08,61.6,61.0,61.37,3588800,61.0,60.76,21.1305,53.8461538462,1.49,0.8143,78.62,91.56,375500.0,16227.9,8.2
48,7/23/2012,60.78,60.86,60.25,60.44,4260100,61.23,61.12,12.8273,53.8461538462,1.47,0.8226,78.47,87.77,371750.0,16227.9,8.2
49,7/24/2012,60.52,60.86,60.17,60.55,3773300,61.31,61.48,11.5976,61.5384615385,1.44,0.8254,78.27,88.28,371750.0,16227.9,8.2
50,7/25/2012,60.73,60.88,60.0,60.36,3253100,61.11,61.27,9.3975,53.8461538462,1.43,0.8264,78.23,88.8,371750.0,16227.9,8.2
51,7/26/2012,61.15,61.38,60.7,61.06,3230700,60.95,61.13,14.1009,61.5384615385,1.45,0.8259,78.18,89.4,371750.0,16227.9,8.2
52,7/27/2012,61.25,61.88,61.22,61.52,3561400,60.92,61.05,17.4497,61.5384615385,1.58,0.8195,78.16,90.13,371750.0,16227.9,8.2
53,7/30/2012,61.37,62.16,61.29,62.04,3638100,60.94,60.93,18.8792,61.5384615385,1.53,0.8115,78.42,89.8,371250.0,16227.9,8.2
54,7/31/2012,60.98,61.21,60.0,60.65,7223800,61.05,60.88,4.9622,53.8461538462,1.51,0.8147,78.3,88.08,371250.0,16227.9,8.2
55,8/1/2012,60.88,60.99,60.12,60.62,4844100,60.95,60.78,2.9329,46.1538461538,1.56,0.8141,78.18,88.99,371250.0,16227.9,8.0
56,8/2/2012,60.88,62.1,60.55,61.97,5299500,60.97,60.91,11.748,53.8461538462,1.51,0.8133,78.16,87.22,371250.0,16227.9,8.0
57,8/3/2012,62.43,62.86,62.06,62.36,3918100,61.17,61.06,19.7866,61.5384615385,1.6,0.8178,78.33,91.4,371250.0,16227.9,8.0
58,8/6/2012,62.55,62.9,62.39,62.39,2415900,61.46,61.34,19.4537,61.5384615385,1.59,0.8072,78.45,92.3,374000.0,16227.9,8.0
