id,Date,Open,High,Low,Close,Volume,SMA-8,WMA-12,cci-20,rsi-14,DGS10,USD/EUR,USD/JPY,VALUE,IC4WSA,GDP,UNRATE
0,5/14/2012,33.01,33.12,32.78,32.85,5845600,32.85,32.85,-0.0085,0.0,1.78,0.7739,79.87,94.75,373250.0,16121.9,8.2
1,5/15/2012,32.76,33.21,32.75,32.88,4991900,32.88,32.88,-0.0085,100.0,1.76,0.777,79.93,93.97,373250.0,16121.9,8.2
2,5/16/2012,32.91,33.23,32.69,32.78,7097300,32.8,32.79,0.0,50.0,1.76,0.7805,79.97,92.78,373250.0,16121.9,8.2
3,5/17/2012,32.66,32.75,31.87,31.87,7747100,32.28,32.08,-0.2917,33.3333333333,1.7,0.7858,80.34,92.53,373250.0,16121.9,8.2
4,5/18/2012,32.0,32.07,31.2,31.31,8852100,32.04,31.82,-0.6218,25.0,1.71,0.7862,80.03,91.51,373250.0,16121.9,8.2
5,5/21/2012,31.27,31.51,31.05,31.35,6983100,32.06,32.03,-0.7727,40.0,1.75,0.7825,78.95,92.57,370250.0,16121.9,8.2
6,5/22/2012,31.41,31.51,31.14,31.25,5909400,32.04,32.18,-0.7561,33.3333333333,1.79,0.7826,79.26,91.44,370250.0,16121.9,8.2
7,5/23/2012,31.19,31.29,30.92,31.29,5300000,32.04,32.37,-0.8836,42.8571428571,1.73,0.7832,79.65,89.4,370250.0,16121.9,8.2
8,5/24/2012,31.35,31.49,30.95,31.26,5119100,31.82,32.12,-0.82,37.5,1.77,0.7912,79.57,90.36,370250.0,16121.9,8.2
9,5/25/2012,31.31,31.56,31.2,31.36,3155300,31.59,31.79,-0.6511,44.4444444444,1.75,0.7956,79.47,90.64,370250.0,16121.9,8.2
10,5/29/2012,31.51,31.64,31.31,31.6,4359600,31.38,31.44,-0.4733,50.0,1.74,0.7956,79.45,90.75,373000.0,16121.9,8.2
11,5/30/2012,31.44,31.48,30.78,30.93,6341100,31.35,31.31,-1.1102,45.4545454545,1.63,0.7984,79.5,87.79,373000.0,16121.9,8.2
12,5/31/2012,30.83,30.87,30.34,30.52,7496200,31.29,31.31,-1.8436,41.6666666667,1.59,0.8038,79.25,86.52,373000.0,16121.9,8.2
13,6/1/2012,30.52,30.64,29.8,29.93,8062200,31.17,31.26,-2.5873,38.4615384615,1.47,0.8076,78.7,83.17,373000.0,16121.9,8.2
14,6/4/2012,30.4,30.52,29.94,30.51,8056900,30.98,31.2,-2.2309,38.4615384615,1.53,0.8046,77.97,83.95,374500.0,16121.9,8.2
