id,Date,Open,High,Low,Close,Volume,SMA-8,WMA-12,cci-20,rsi-14,DGS10,USD/EUR,USD/JPY,VALUE,IC4WSA,GDP,UNRATE
0,5/14/2012,82.27,82.46,81.96,82.12,12675900,82.12,82.12,-0.0,0.0,1.78,0.7739,79.87,94.75,373250.0,16121.9,8.2
1,5/15/2012,82.0,82.73,81.53,81.79,15757400,81.84,81.8,-0.1052,0.0,1.76,0.777,79.93,93.97,373250.0,16121.9,8.2
2,5/16/2012,81.96,83.15,81.79,82.17,15034500,82.11,82.15,0.2458,50.0,1.76,0.7805,79.97,92.78,373250.0,16121.9,8.2
3,5/17/2012,82.15,82.61,81.68,81.91,17698200,81.96,81.93,-0.1855,33.3333333333,1.7,0.7858,80.34,92.53,373250.0,16121.9,8.2
4,5/18/2012,82.37,82.72,81.03,81.47,21747200,81.77,81.66,-0.6939,25.0,1.71,0.7862,80.03,91.51,373250.0,16121.9,8.2
5,5/21/2012,81.42,82.13,81.07,82.04,13730400,81.93,82.0,-0.6425,40.0,1.75,0.7825,78.95,92.57,370250.0,16121.9,8.2
6,5/22/2012,82.14,82.84,81.52,81.95,13790000,81.92,81.95,0.1853,33.3333333333,1.79,0.7826,79.26,91.44,370250.0,16121.9,8.2
7,5/23/2012,81.79,82.08,79.96,82.04,17582200,81.92,81.95,-1.8797,42.8571428571,1.73,0.7832,79.65,89.4,370250.0,16121.9,8.2
8,5/24/2012,82.29,82.78,81.71,82.61,14113600,81.91,81.89,1.4213,50.0,1.77,0.7912,79.57,90.36,370250.0,16121.9,8.2
9,5/25/2012,82.86,82.96,81.68,82.08,12756500,82.03,81.95,0.9573,44.4444444444,1.75,0.7956,79.47,90.64,370250.0,16121.9,8.2
10,5/29/2012,82.64,82.64,81.32,81.93,15931100,82.01,81.91,-0.2095,40.0,1.74,0.7956,79.45,90.75,373000.0,16121.9,8.2
11,5/30/2012,81.08,81.38,79.59,79.79,19593100,82.02,81.94,-7.3619,36.3636363636,1.63,0.7984,79.5,87.79,373000.0,16121.9,8.2
